,AF3 Mean,AF3 Peak_to_Peak,AF3 Peak_to_Peak_Time,AF3 Peak_to_Peak_Slope,AF3 Signal_Power,AF3 Kurtosis,AF3 Mobility,AF3 Complexity,AF3 LAR,AF3 Delta_Power,AF3 Theta_Power,AF3 Alpha_Power,AF3 Beta_Power,AF3 Gamma_Power,AF3 WT_Energy,AF3 WT_Entropy,AF4 Mean,AF4 Peak_to_Peak,AF4 Peak_to_Peak_Time,AF4 Peak_to_Peak_Slope,AF4 Signal_Power,AF4 Kurtosis,AF4 Mobility,AF4 Complexity,AF4 LAR,AF4 Delta_Power,AF4 Theta_Power,AF4 Alpha_Power,AF4 Beta_Power,AF4 Gamma_Power,AF4 WT_Energy,AF4 WT_Entropy,F7 Mean,F7 Peak_to_Peak,F7 Peak_to_Peak_Time,F7 Peak_to_Peak_Slope,F7 Signal_Power,F7 Kurtosis,F7 Mobility,F7 Complexity,F7 LAR,F7 Delta_Power,F7 Theta_Power,F7 Alpha_Power,F7 Beta_Power,F7 Gamma_Power,F7 WT_Energy,F7 WT_Entropy,F3 Mean,F3 Peak_to_Peak,F3 Peak_to_Peak_Time,F3 Peak_to_Peak_Slope,F3 Signal_Power,F3 Kurtosis,F3 Mobility,F3 Complexity,F3 LAR,F3 Delta_Power,F3 Theta_Power,F3 Alpha_Power,F3 Beta_Power,F3 Gamma_Power,F3 WT_Energy,F3 WT_Entropy,F4 Mean,F4 Peak_to_Peak,F4 Peak_to_Peak_Time,F4 Peak_to_Peak_Slope,F4 Signal_Power,F4 Kurtosis,F4 Mobility,F4 Complexity,F4 LAR,F4 Delta_Power,F4 Theta_Power,F4 Alpha_Power,F4 Beta_Power,F4 Gamma_Power,F4 WT_Energy,F4 WT_Entropy,F8 Mean,F8 Peak_to_Peak,F8 Peak_to_Peak_Time,F8 Peak_to_Peak_Slope,F8 Signal_Power,F8 Kurtosis,F8 Mobility,F8 Complexity,F8 LAR,F8 Delta_Power,F8 Theta_Power,F8 Alpha_Power,F8 Beta_Power,F8 Gamma_Power,F8 WT_Energy,F8 WT_Entropy,FC5 Mean,FC5 Peak_to_Peak,FC5 Peak_to_Peak_Time,FC5 Peak_to_Peak_Slope,FC5 Signal_Power,FC5 Kurtosis,FC5 Mobility,FC5 Complexity,FC5 LAR,FC5 Delta_Power,FC5 Theta_Power,FC5 Alpha_Power,FC5 Beta_Power,FC5 Gamma_Power,FC5 WT_Energy,FC5 WT_Entropy,FC6 Mean,FC6 Peak_to_Peak,FC6 Peak_to_Peak_Time,FC6 Peak_to_Peak_Slope,FC6 Signal_Power,FC6 Kurtosis,FC6 Mobility,FC6 Complexity,FC6 LAR,FC6 Delta_Power,FC6 Theta_Power,FC6 Alpha_Power,FC6 Beta_Power,FC6 Gamma_Power,FC6 WT_Energy,FC6 WT_Entropy,label
0,3.82945657406708e-08,94.5122680664062,27672.0,0.0034154476597905,94.04541015625,3.37104034423828,0.86873197555542,1.26810395717621,32.7499923706055,264608.25,138014.296875,102931.6640625,539047.625,105954.1875,3609876.25,-21222728.0,-5.42506342071647e-08,85.8873901367188,12882.0,0.0066672405228018,80.0160293579102,3.29756331443787,0.933679461479187,1.28433275222778,564.639099121094,177003.515625,93072.0234375,96171.3046875,486680.90625,126167.0625,3065083.0,-17136290.0,1.3921670927175e-07,101.48218536377,1035.0,0.0980504229664803,104.940414428711,3.22200083732605,0.882881343364716,1.24348258972168,368.821716308594,262204.09375,108068.59375,98217.640625,646221.8125,107782.53125,4143501.75,-25492186.0,6.22286719931253e-08,99.8220443725586,4332.0,0.0230429470539093,120.683647155762,2.71279048919678,0.961727440357208,1.21538126468658,101.852363586426,180586.234375,158884.09375,130419.7421875,913142.125,133975.78125,4622630.0,-27028018.0,4.46769945483538e-08,135.877624511719,5427.0,0.0250373370945454,159.425201416016,3.37635636329651,0.847898244857788,1.25529074668884,274.111999511719,565841.3125,225243.859375,152687.53125,827965.25,184939.546875,6100715.5,-39042652.0,-3.47842302517165e-07,118.599517822266,5207.0,0.0227769389748573,177.591445922852,2.8330671787262,0.876292884349823,1.21296989917755,99.7882308959961,497808.5625,248862.96875,169408.890625,1138214.5,140551.8125,6808012.0,-43318064.0,-1.72325542280305e-07,118.15161895752,5207.0,0.0226909201592207,162.904251098633,2.66955089569092,0.925187289714813,1.21162581443787,97.5518341064453,333580.625,224152.984375,169602.296875,1174065.5,137976.859375,6256253.5,-38545488.0,-1.07703471030618e-07,149.033813476562,1654.0,0.0901050865650177,188.741104125977,3.02963185310364,0.884104430675507,1.16112864017487,190.199508666992,422963.625,375519.25,223078.1875,1393274.125,76700.390625,7224398.5,-46164348.0,1
0,1.89877226830504e-07,70.0345993041992,24144.0,0.002900704042986,67.4747009277344,3.03117728233337,1.01650047302246,1.3512876033783,645.803283691406,165812.921875,88885.6171875,46191.4765625,310942.25,229941.9375,2612739.75,-13778450.0,-7.14034129600805e-08,69.1031799316406,265.0,0.260766714811325,54.6158447265625,3.54921531677246,0.949568033218384,1.36218583583832,70.1807327270508,140158.453125,91881.734375,44977.921875,248111.765625,132754.09375,2102475.0,-11031273.0,8.775837834207321e-09,78.2729644775391,24617.0,0.0031796304974705,66.8251724243164,3.37468671798706,0.959258556365967,1.33520019054413,873.677551269531,153396.96875,94794.84375,50504.58984375,330501.25,169407.3125,2567943.5,-13916843.0,8.21737557998858e-08,71.6276550292969,11322.0,0.0063264137133956,86.8580627441406,2.7487645149231,1.03370404243469,1.27049589157104,1000.13708496094,121167.625,77519.015625,64037.1640625,674969.125,128963.734375,3325792.0,-18171064.0,-2.48914687972501e-07,91.5501403808594,18842.0,0.00485883327201,114.962249755859,3.20638608932495,0.927778542041779,1.28707444667816,418.838928222656,346748.59375,156953.65625,77069.78125,691697.0625,131510.5625,4404180.0,-26132390.0,1.49189247622417e-07,94.5656280517578,23033.0,0.0041056582704186,160.800918579102,2.59914016723633,0.978483021259308,1.24653923511505,535.758483886719,395277.5,242178.875,85869.421875,1207521.625,133813.46875,6160990.0,-37064016.0,-2.13811333082958e-07,83.7031097412109,22492.0,0.003721461398527,150.688873291016,2.52786922454834,1.00094854831696,1.25024056434631,149.550140380859,289757.4375,205415.796875,82027.140625,1168951.5,135693.265625,5773131.0,-34084420.0,-1.3881779636904e-07,89.7712707519531,13522.0,0.0066389050334692,141.85954284668,2.50126385688782,1.01135504245758,1.2266651391983,427.175048828125,239041.484375,171314.96875,79215.4296875,1209055.375,111624.40625,5444669.0,-32156840.0,2
0,-6.382427919504611e-09,72.8164901733398,5402.0,0.0134795429185033,55.5138549804688,3.20721507072449,0.963299512863159,1.34993922710419,511.240692138672,161383.4375,80578.2890625,57552.06640625,262031.53125,142398.96875,2124506.25,-10971082.0,1.94664039554482e-07,75.3035202026367,4504.0,0.0167192537337542,48.8591003417969,3.39276790618896,0.983502209186554,1.3786461353302,665.540771484375,113798.71875,81501.4921875,56257.3515625,182441.046875,166932.703125,1877284.5,-9442441.0,2.23384972741769e-08,74.9610748291016,911.0,0.0822843834757805,54.1367683410645,3.47910261154175,0.919791102409363,1.31798446178436,1070.80834960938,145572.765625,78907.984375,58303.04296875,258752.875,120126.5,2074997.25,-10935623.0,-4.14857801445123e-08,61.3346099853516,337.0,0.182001814246178,70.7502517700195,2.79123449325562,1.03979790210724,1.28333854675293,532.742980957031,95478.75,69605.53125,75277.3125,552128.0625,94248.5546875,2718353.5,-14326846.0,-1.9984976518117e-07,108.673538208008,7883.0,0.0137858092784882,128.950897216797,3.19626951217651,0.892865002155304,1.28517758846283,318.747619628906,445476.03125,165139.625,93718.046875,739475.5625,110197.1875,5013572.5,-31063140.0,-3.90923702298096e-08,95.6915054321289,5172.0,0.0185018386691809,155.475036621094,2.66036868095398,0.954506695270538,1.25127959251404,665.890075683594,432488.90625,222168.828125,133910.859375,1096367.0,121561.3515625,5981823.5,-36113444.0,-2.23384972741769e-07,84.2315826416016,31920.0,0.0026388340629637,129.772521972656,2.59865808486938,1.00762152671814,1.2626656293869,882.742614746094,270238.0625,149621.703125,99128.4296875,1004782.125,115004.4375,4966079.5,-28719328.0,-1.30041968304795e-07,78.0602416992188,1102.0,0.0708350613713264,108.99388885498,2.58361673355103,1.05471968650818,1.26249325275421,49.0885467529297,158233.265625,120458.015625,75587.171875,869449.6875,171346.21875,4174960.0,-23407290.0,3
0,2.63275143908004e-08,76.6699066162109,23206.0,0.0033038828987628,65.3933181762695,2.95909547805786,1.02667462825775,1.34572875499725,861.021118164062,136649.78125,85769.390625,63375.13671875,225073.8125,314822.15625,2502256.0,-12942860.0,-4.46769945483538e-08,62.4226455688477,14104.0,0.0044258823618292,56.9832420349121,2.99807786941528,1.03762698173523,1.34009993076324,363.22265625,104413.78125,80763.875,58507.47265625,229669.9375,250776.21875,2181473.5,-10978132.0,1.36424390007051e-07,65.5124969482422,17652.0,0.0037113355938345,53.6610641479492,3.1770224571228,1.04638540744781,1.34629476070404,474.740966796875,86876.0,58021.16796875,62636.125,198219.15625,254578.0625,2054791.25,-10335947.0,1.11692486370885e-08,65.0828628540039,25098.0,0.0025931494310498,84.6112747192383,2.65271091461182,1.05288469791412,1.29720413684845,91.8445663452148,120200.21875,102770.46875,81671.4765625,459143.375,321236.75,3238639.75,-17367204.0,1.65943120578049e-07,107.470710754395,74.0,1.45230686664581,121.243896484375,2.96753597259521,0.932660222053528,1.28076863288879,74.9601135253906,305830.53125,197615.96875,130054.703125,638425.375,239369.671875,4641739.0,-27305966.0,3.03165315074239e-08,85.1980590820312,10206.0,0.0083478400483727,136.959655761719,2.64193439483643,0.99390172958374,1.25454270839691,27.7319297790527,286587.84375,191710.609375,124260.5234375,1002823.125,150440.5,5249474.5,-30725780.0,-9.25451999478355e-08,93.9781646728516,180.0,0.522100925445557,121.733345031738,2.61140894889832,1.01171815395355,1.25896751880646,98.082405090332,219464.078125,153870.390625,101488.3984375,890487.625,183431.734375,4666038.5,-26717298.0,-2.07827795861704e-07,74.8193511962891,26162.0,0.0028598483186215,120.636360168457,2.60110282897949,1.01452350616455,1.20658421516418,2.8578097820282,156614.71875,138226.78125,69001.921875,1090119.375,89572.0546875,4615474.0,-26711366.0,4
0,1.0909962355754e-07,152.938201904297,9780.0,0.0156378522515297,231.098114013672,3.4734833240509,0.790193796157837,1.2279851436615,602.677856445312,870786.9375,535350.5,279674.1875,1187388.25,123053.78125,8845850.0,-59715236.0,-5.36024202801855e-08,138.074401855469,146.0,0.945715069770813,192.487243652344,3.06108832359314,0.88305389881134,1.30645453929901,92.1578979492188,627284.5,399481.875,251903.015625,982048.5625,234282.34375,7371839.0,-47122068.0,-3.1912139597523e-09,131.337295532227,9911.0,0.0132516697049141,183.452560424805,3.1326858997345,0.895466208457947,1.31028425693512,168.870635986328,529387.125,412923.78125,277366.59375,918996.375,268781.21875,7024565.5,-44115664.0,-3.07154323309078e-07,183.29753112793,25287.0,0.0072486861608922,254.079895019531,3.04050326347351,0.815172255039215,1.21266770362854,8.15415096282959,876711.375,527392.5,306218.6875,1387115.0,171139.125,9726261.0,-65424400.0,5.62451454300117e-08,150.652008056641,15602.0,0.0096559422090649,172.059707641602,3.25294661521912,0.875662922859192,1.22335875034332,319.530822753906,475289.6875,333917.8125,215819.828125,1069215.5,165516.40625,6603433.5,-41930340.0,1.56369480919238e-07,162.655975341797,5184.0,0.0313765369355679,297.524383544922,3.05481290817261,0.748360216617584,1.244065284729,8.358078956604,1264022.5,572730.75,345253.78125,1267659.75,189620.96875,11424568.0,-81388464.0,-6.70154918225307e-08,175.475524902344,11963.0,0.0146681871265173,223.25634765625,3.2765748500824,0.834813058376312,1.25771927833557,9.84544086456299,762252.625,521788.4375,287447.5625,1137534.0,217160.0,8557939.0,-56532052.0,2.3934103587919303e-09,147.144836425781,2017.0,0.0729523226618767,265.613891601562,3.31887912750244,0.75142627954483,1.21689021587372,491.674194335938,1262582.625,712647.3125,272638.125,1250261.25,114950.28125,10171405.0,-70788608.0,1
0,8.5364973756441e-08,147.330093383789,7558.0,0.0194932650774717,234.672882080078,2.99631404876709,0.825125098228455,1.14362359046936,406.047668457031,857839.375,388977.34375,149441.671875,1557984.25,57960.71875,8980685.0,-60074212.0,-2.30565206038591e-07,153.287887573242,11829.0,0.0129586514085531,162.95263671875,3.12937521934509,0.967370212078094,1.29034340381622,611.227294921875,399946.4375,251057.03125,155656.4375,1072483.75,204307.46875,6239291.5,-37753520.0,9.65342223935295e-08,162.395172119141,11613.0,0.0139839118346572,157.648941040039,3.13229155540466,0.987232387065887,1.3020840883255,392.440063476562,347837.09375,234102.890625,139988.09375,1039746.5,243928.46875,6033202.0,-36202076.0,2.7923121592721104e-09,131.471313476562,2165.0,0.0607257783412933,271.541564941406,2.77325201034546,0.803311824798584,1.22777092456818,19.6035900115967,1244590.25,619363.0,233903.921875,1393590.625,182334.28125,10456576.0,-71958720.0,7.4993522503064e-08,167.847793579102,710.0,0.236405342817307,154.957962036133,3.32463669776917,0.957594990730286,1.27977681159973,378.720367431641,409519.1875,255617.109375,137039.234375,1025672.0625,190798.265625,5935037.0,-36166144.0,-3.87433303217222e-08,148.882507324219,23449.0,0.0063492050394415,306.322113037109,2.81466674804688,0.766960024833679,1.23598265647888,107.540100097656,1450364.75,694901.9375,236286.65625,1392613.75,201188.21875,11814720.0,-83704304.0,8.45671692673022e-08,145.074279785156,30689.0,0.0047272401861846,209.584854125977,2.80748248100281,0.876112878322601,1.24459898471832,0.781770050525665,675809.5625,377849.375,214449.828125,1241166.625,213961.9375,8023180.5,-51318428.0,4.18846823890817e-08,145.939605712891,6936.0,0.0210408885031939,260.869323730469,3.03121590614319,0.787317335605621,1.1528548002243,145.595703125,1214873.875,446845.875,149262.03125,1546933.5,63294.2734375,9984810.0,-68772296.0,2
0,2.83220238372905e-08,101.237281799316,13259.0,0.0076353633776307,169.962249755859,2.53921008110046,0.939799845218658,1.14045870304108,582.240356445312,293124.65625,241629.5,115066.8828125,1508914.25,43174.3359375,6513364.0,-40150220.0,9.11490474209131e-08,142.939331054688,2637.0,0.0542052835226059,163.978073120117,2.90858840942383,0.945674240589142,1.25713908672333,196.777297973633,364704.75,282656.21875,166102.578125,1109638.75,200575.1875,6278074.0,-38170900.0,-8.89550832994246e-08,159.964584350586,16246.0,0.0098463986068964,180.655715942383,3.19960522651672,0.912979304790497,1.27268767356873,422.765563964844,565681.1875,397027.25,154168.84375,1082891.75,195416.59375,6919863.0,-43248860.0,1.28446359326517e-07,123.72486114502,2043.0,0.0605603829026222,240.498687744141,2.69856548309326,0.858559429645538,1.21787846088409,343.995513916016,834717.8125,435617.3125,244337.640625,1437375.75,181158.484375,9204702.0,-60258920.0,-4.67512819568583e-07,138.690200805664,3952.0,0.0350936725735664,171.146667480469,3.21284508705139,0.929536998271942,1.27710366249084,487.708160400391,475428.125,313770.0625,143268.5625,1061965.375,208714.4375,6552999.0,-40560172.0,8.93539890967077e-08,142.133682250977,5048.0,0.0281564351171255,257.309173583984,2.82713031768799,0.830351710319519,1.24294340610504,262.024291992188,966782.5625,515550.21875,215749.21875,1339749.5,204114.640625,9853685.0,-65947264.0,-3.51033513368293e-08,128.635513305664,14965.0,0.0085957581177353,216.575271606445,2.72870659828186,0.872760713100433,1.23455286026001,278.062622070312,712595.625,422284.71875,213641.859375,1303338.0,216436.484375,8291633.0,-53454440.0,-4.86660098886205e-08,107.953720092773,11800.0,0.0091486200690269,184.80973815918,2.66401171684265,0.90558785200119,1.14691019058228,457.088989257812,494153.8125,238843.15625,134929.328125,1498220.75,49553.67578125,7081775.5,-44643356.0,3
0,-2.07927527640095e-07,108.98779296875,697.0,0.156366989016533,173.169326782227,3.22738885879517,0.859981000423431,1.25944912433624,603.876220703125,500009.125,421565.28125,177293.875,1043884.875,110171.015625,6647652.5,-42305744.0,8.01792481297525e-08,135.361190795898,8070.0,0.0167733822017908,194.546432495117,3.12657690048218,0.883057296276093,1.27759850025177,466.491546630859,573923.5,411654.96875,215344.234375,1105523.875,210500.28125,7447018.0,-47468340.0,9.41408089261131e-08,102.905838012695,330.0,0.311835885047913,150.55046081543,2.79751133918762,0.972820162773132,1.30600309371948,307.515808105469,258343.5,261891.3125,201318.984375,958439.0625,258046.8125,5763607.0,-34179296.0,1.05310057563202e-07,156.629974365234,14135.0,0.0110810026526451,266.054962158203,3.03216981887817,0.785864233970642,1.24220812320709,199.610595703125,1256750.5,605718.125,230873.9375,1243212.875,195054.375,10191993.0,-70308368.0,-9.5736414351677e-09,102.608016967773,1126.0,0.0911261215806007,141.801498413086,2.9269483089447,0.957226991653442,1.25189733505249,441.008758544922,240267.953125,215931.53125,178594.96875,1014498.75,181048.28125,5429450.0,-32407590.0,2.23384972741769e-08,133.436004638672,35965.0,0.0037101628258824,299.238006591797,2.86978459358215,0.757924795150757,1.24734377861023,560.608215332031,1477832.75,695630.125,253029.859375,1306637.25,191215.578125,11457945.0,-80889272.0,-1.69134338534604e-07,151.919372558594,14470.0,0.010498920455575,224.254364013672,2.9463312625885,0.848488032817841,1.25652658939362,18.4543743133545,732522.8125,497514.5,263541.75,1235955.75,230085.96875,8595520.0,-56130852.0,2.71253185246678e-07,117.382354736328,9563.0,0.0122746368870139,186.264739990234,3.28037142753601,0.836202561855316,1.24215042591095,162.476440429688,608181.625,542824.0625,182396.71875,1092131.75,96861.5625,7149663.5,-46220036.0,4
0,-2.95187287946419e-08,122.038558959961,11734.0,0.0104004228487611,267.093719482422,2.97228407859802,0.776557922363281,1.25566446781158,375.915435791016,1002876.0,527146.0,603207.8125,1088828.0,233097.46875,10230754.0,-69277008.0,3.98901747189484e-08,120.808204650879,28196.0,0.0042845867574214,152.747695922852,3.15859174728394,0.916267573833466,1.2808883190155,500.044952392578,425497.75,243052.578125,240913.015625,915038.875,171004.859375,5846126.0,-35657372.0,-3.35077459112654e-08,108.216384887695,3833.0,0.02823281660676,137.619049072266,3.17104768753052,0.927503287792206,1.27116537094116,585.9130859375,294478.78125,215164.90625,222003.875,864523.6875,184629.75,5271201.5,-31433804.0,-1.14085892732874e-07,112.450950622559,23310.0,0.0048241508193314,178.074813842773,2.80602979660034,0.898808181285858,1.24957740306854,90.4663467407227,346144.4375,281790.1875,448150.15625,911670.25,336504.8125,6826989.0,-41953212.0,1.5716727830295e-07,111.939788818359,5638.0,0.0198545213788748,175.994812011719,2.93893790245056,0.860312938690186,1.2621031999588,502.224182128906,489329.125,317509.4375,271906.78125,945018.6875,198107.28125,6752671.0,-42318772.0,-1.46795841260428e-07,158.406127929688,4119.0,0.0384574234485626,339.538848876953,2.88991928100586,0.718735933303833,1.17679047584534,270.702575683594,1712138.875,668677.6875,347030.71875,1474188.875,190635.859375,13044518.0,-94059544.0,-5.03613417635052e-09,119.571060180664,30732.0,0.0038907672278583,200.984313964844,2.72371888160706,0.922243535518646,1.27936971187592,529.969848632812,590026.75,358990.59375,253542.9375,1207039.125,197283.3125,7698681.0,-48066108.0,3.16727977178743e-07,119.559043884277,34191.0,0.0034967986866831,266.206146240234,2.81910037994385,0.811812162399292,1.20448076725006,603.674011230469,778724.125,454749.875,624488.9375,1310544.75,236888.6875,10186968.0,-68056640.0,1
0,2.67264166353698e-08,124.055404663086,410.0,0.302574157714844,183.809127807617,2.77744197845459,0.871102929115295,1.32072770595551,43.4448547363281,784232.4375,440368.59375,142585.234375,1005812.3125,127544.921875,7064716.5,-44964212.0,9.33430044369743e-08,91.6770095825195,8178.0,0.0112101994454861,102.507316589355,3.01060891151428,1.03575718402863,1.328169465065,50.2952308654785,213009.78125,140140.09375,77072.84375,753902.4375,132832.609375,3922227.75,-21832550.0,1.11293580573602e-07,88.1523284912109,16764.0,0.0052584302611649,115.417274475098,3.00304627418518,0.973524510860443,1.27286076545715,406.541595458984,247625.953125,147669.46875,88114.1328125,828282.5,163256.1875,4416526.5,-25524468.0,1.02517745403929e-07,94.6113586425781,5486.0,0.0172459632158279,145.823226928711,2.67459082603455,0.986443281173706,1.23068618774414,700.918518066406,236203.3125,234780.15625,141712.59375,1106170.125,197032.40625,5584353.0,-32932748.0,-1.35626592623339e-07,109.777641296387,323.0,0.339868873357773,157.162780761719,2.86222791671753,0.914190411567688,1.28041350841522,39.3813323974609,455217.5,257296.484375,149908.140625,979177.25,138532.234375,6017785.0,-36824276.0,7.10045071627974e-08,159.006988525391,9140.0,0.0173968262970448,334.674407958984,2.80943918228149,0.735435545444489,1.1468905210495,110.036422729492,1623233.0,770004.75,209664.703125,1678784.25,116913.421875,12825668.0,-91727776.0,-2.15107760936917e-07,109.935485839844,21587.0,0.0050926706753671,172.709289550781,2.68191599845886,0.924557626247406,1.30630385875702,3.32376217842102,525572.0625,369649.25,214169.796875,950057.25,234474.34375,6610693.5,-40492224.0,-3.98901744969038e-10,110.435409545898,9433.0,0.011707347817719,186.133987426758,2.55241370201111,0.913148939609528,1.23436009883881,248.424346923828,586994.625,341426.65625,141486.828125,1266005.5,144830.90625,7167355.0,-44793972.0,2
