,AF3 Mean,AF3 Peak_to_Peak,AF3 Peak_to_Peak_Time,AF3 Peak_to_Peak_Slope,AF3 Signal_Power,AF3 Kurtosis,AF3 Mobility,AF3 Complexity,AF3 LAR,AF3 Delta_Power,AF3 Theta_Power,AF3 Alpha_Power,AF3 Beta_Power,AF3 Gamma_Power,AF3 WT_Energy,AF3 WT_Entropy,AF4 Mean,AF4 Peak_to_Peak,AF4 Peak_to_Peak_Time,AF4 Peak_to_Peak_Slope,AF4 Signal_Power,AF4 Kurtosis,AF4 Mobility,AF4 Complexity,AF4 LAR,AF4 Delta_Power,AF4 Theta_Power,AF4 Alpha_Power,AF4 Beta_Power,AF4 Gamma_Power,AF4 WT_Energy,AF4 WT_Entropy,F7 Mean,F7 Peak_to_Peak,F7 Peak_to_Peak_Time,F7 Peak_to_Peak_Slope,F7 Signal_Power,F7 Kurtosis,F7 Mobility,F7 Complexity,F7 LAR,F7 Delta_Power,F7 Theta_Power,F7 Alpha_Power,F7 Beta_Power,F7 Gamma_Power,F7 WT_Energy,F7 WT_Entropy,F3 Mean,F3 Peak_to_Peak,F3 Peak_to_Peak_Time,F3 Peak_to_Peak_Slope,F3 Signal_Power,F3 Kurtosis,F3 Mobility,F3 Complexity,F3 LAR,F3 Delta_Power,F3 Theta_Power,F3 Alpha_Power,F3 Beta_Power,F3 Gamma_Power,F3 WT_Energy,F3 WT_Entropy,F4 Mean,F4 Peak_to_Peak,F4 Peak_to_Peak_Time,F4 Peak_to_Peak_Slope,F4 Signal_Power,F4 Kurtosis,F4 Mobility,F4 Complexity,F4 LAR,F4 Delta_Power,F4 Theta_Power,F4 Alpha_Power,F4 Beta_Power,F4 Gamma_Power,F4 WT_Energy,F4 WT_Entropy,F8 Mean,F8 Peak_to_Peak,F8 Peak_to_Peak_Time,F8 Peak_to_Peak_Slope,F8 Signal_Power,F8 Kurtosis,F8 Mobility,F8 Complexity,F8 LAR,F8 Delta_Power,F8 Theta_Power,F8 Alpha_Power,F8 Beta_Power,F8 Gamma_Power,F8 WT_Energy,F8 WT_Entropy,FC5 Mean,FC5 Peak_to_Peak,FC5 Peak_to_Peak_Time,FC5 Peak_to_Peak_Slope,FC5 Signal_Power,FC5 Kurtosis,FC5 Mobility,FC5 Complexity,FC5 LAR,FC5 Delta_Power,FC5 Theta_Power,FC5 Alpha_Power,FC5 Beta_Power,FC5 Gamma_Power,FC5 WT_Energy,FC5 WT_Entropy,FC6 Mean,FC6 Peak_to_Peak,FC6 Peak_to_Peak_Time,FC6 Peak_to_Peak_Slope,FC6 Signal_Power,FC6 Kurtosis,FC6 Mobility,FC6 Complexity,FC6 LAR,FC6 Delta_Power,FC6 Theta_Power,FC6 Alpha_Power,FC6 Beta_Power,FC6 Gamma_Power,FC6 WT_Energy,FC6 WT_Entropy,label
0,-2.87712224523653e-13,241.0255,20860.0,0.0115544343240652,698.005633831513,3.92509468394645,0.351985398147741,1.39331488576596,233.377997283462,422255.329440241,144035.127426283,109986.614407789,553432.083343256,109006.745543827,27147383.0040834,-277010616.269411,3.5902358038197305e-15,339.2305,4354.0,0.0779123794212219,957.645557994281,9.18758922080831,0.29777766407982,1.38889187640021,14.8533833927103,462178.110087425,103027.896591364,104304.272244879,511682.021111525,132783.821859995,36716103.5704072,-416217222.042972,-9.92330179592598e-15,789.8722,4155.0,0.190101612515042,2474.57335770452,13.2919843977804,0.196053983248906,1.32390553656486,1.35597243313078,974155.417951406,129427.30249337,111324.524287474,671090.401147331,113313.301429076,95061260.765844,-1198989194.17867,1.490780032447e-14,547.564,2849.0,0.192195156195156,1356.33399165904,12.4590250404904,0.303323233090986,1.28406826054524,15.4375720683753,478922.847619568,174025.535380763,155256.241538485,932764.989572005,140933.53148382,51896845.8797116,-614649936.231609,6.257947440830141e-14,2676.6665,1503.0,1.78088256819694,13055.5676998805,53.5356692020543,0.0988385895658846,1.30856046830646,24.6195691145769,1884275.02020395,251702.256012338,160728.734119245,830665.143365819,186321.295344426,499873385.035374,-8075723277.19133,-3.64729915434401e-13,264.872,29704.0,0.0089170482089954,1205.15358077776,3.87362939098228,0.354800323845308,1.28832451172724,37.8541870959163,823288.845259266,260879.295530784,172776.739577426,1158959.4723616,143440.363888671,46362112.9826951,-496090489.003903,8.364536131018411e-14,575.7691,449.0,1.28233652561247,3169.1058595736,9.23193373518738,0.221948098126411,1.28548225666955,84.2379693428618,830848.954609053,240129.671683432,186597.292299543,1198883.30348344,143152.071094067,121313763.624846,-1533905663.63064,-3.7169008387237297e-13,328.4618,3326.0,0.0987558027660854,1671.08204349115,3.37003346740335,0.313890392772549,1.25919860043258,73.4182143771597,617434.469173609,397633.790348946,232277.739190818,1396349.41787748,77574.8735095834,64025584.3625232,-706191981.376379,1
0,-4.6007326360206405e-15,147.0512,203.0,0.724390147783251,292.732915518524,3.51197630357543,0.523335357337366,1.41907509770691,34.2485834062036,251324.121506186,91557.2140771809,47474.8156244187,323915.722039205,235542.595504751,11238877.3834087,-98390225.9835033,-7.34839240475519e-16,283.3333,211.0,1.34281184834123,563.849641768003,7.85576943828852,0.331861691833692,1.4632741462029,20.8029229658521,251621.756521786,97167.9158817802,48337.4701410636,264638.93126439,141128.559743553,21693008.2280551,-229274711.746702,-2.01802161489536e-15,395.7694,4955.0,0.0798727346115035,1106.72189908082,5.98622616336064,0.257124655868747,1.40497108887607,11.7373553475658,403190.879988884,102813.874105618,53082.9062185495,354627.600823407,179062.450112065,43241043.8958459,-487130088.849565,4.99096273622058e-14,258.9745,8705.0,0.0297500861573808,892.934454624359,4.45922026178158,0.343057054912433,1.32543748052097,274.047461116845,266190.944650117,85196.6729518733,70112.5127674386,704393.44495255,141281.806609781,34165498.7960277,-365413965.649925,4.11331651695902e-14,274.8719,21625.0,0.0127108393063584,912.727686163979,4.0235586903378,0.347736275254563,1.35340744230337,225.470878220992,546867.180520367,163423.350980382,80184.3476732488,701831.605867854,133686.913827744,34943244.4127761,-366647484.707162,6.89099398570895e-13,294.6156,7419.0,0.039710958350182,1885.12431755563,2.82947566731834,0.295682364827316,1.28750126139844,29.159301478346,598989.730944423,250757.386035204,88126.2488122939,1227554.05906599,136826.342800586,73151799.6770844,-820192217.719217,-2.27807594671177e-14,391.5384,4268.0,0.0917381443298969,2930.25290373908,3.44764492312349,0.236421782949111,1.28746440219341,142.764926974507,413493.374533944,218495.918025425,85743.5761338652,1211467.40646254,139486.888499585,112122314.886141,-1337859289.11384,1.56046716325003e-13,362.0516,30917.0,0.011710437623314,1403.88887906298,4.24780212295578,0.336585781651737,1.28618064022664,210.143602326834,395094.814576986,182665.596486977,82591.9819652155,1233017.23359887,115625.38162686,54682302.015808,-601169301.263853,2
0,-2.53604984387365e-14,353.3335,329.0,1.07396200607903,496.201798867871,18.2679857020805,0.348669035508522,1.42689996646284,20.4204859020035,266621.8091836,84740.2578030069,58856.5984404466,274191.06442714,146810.356091725,19221950.0556545,-206709494.213851,7.667887726701071e-15,228.8462,25932.0,0.0088248573191423,375.008814760473,7.06346084169825,0.396874989007929,1.47756650041714,360.50813442438,192973.137826723,84743.194503874,59542.1463660254,193868.848337166,174065.309913231,14582219.2774741,-144793032.526359,8.45548084591649e-15,585.0,39.0,15.0,768.918645384281,15.017465269822,0.269447986637022,1.40365156516029,65.4290222987544,977740.597464586,96196.3797434056,64464.9242101127,277868.813431929,124059.633269189,31174800.9444479,-349615714.336689,-2.9839377044991804e-15,438.9743,215.0,2.04174093023256,1121.9607988111,12.837779270015,0.281977064690852,1.35331530787132,15.1238742266115,216226.55021433,73842.8882620763,81258.8409547733,582311.801168371,102928.527836904,42935979.7850538,-503258050.770073,2.19338368096293e-13,2216.2819,5288.0,0.419115336611195,7437.26400867746,56.059365689437,0.124266135188489,1.33466324467444,18.2487003523095,2307270.90296497,193917.081635641,98411.8853650654,748000.329515217,110956.968966982,284567522.753785,-4326567755.09138,-2.94623725650956e-13,408.9744,31280.0,0.0130746291560102,2821.5123393408,4.23863140762754,0.233781897058993,1.29709521440586,6.88376889289249,799315.688734895,240050.771391867,140532.82066405,1124683.3985233,126349.157818116,112394516.483242,-1358941102.72002,-3.39619069154209e-13,542.0515,240.0,2.25854791666667,2290.08410545952,11.8397104632409,0.250720249400164,1.30639417670626,10.8760689774288,421367.699326946,156515.703350044,104753.099842793,1036075.47012425,119273.11459432,88052565.4210136,-1079401301.74695,3.71743952269678e-14,281.282,20915.0,0.013448816638776,995.570283765878,4.62756818808159,0.365558659998877,1.31652752640672,159.723885789278,289538.825320259,130184.39499485,80209.292856072,886134.779919391,179423.488007117,38420627.0430668,-413512630.556747,3
0,9.87002780852245e-14,250.5129,11079.0,0.0226115082588681,623.206256759007,6.59101280106629,0.350799340170754,1.39656293082473,144.979125099178,260376.933317426,88235.2987975477,63386.1741299135,237736.940795987,320758.376846526,24078657.1988772,-252790811.218027,-1.9202411861323902e-14,201.7949,1682.0,0.119973186682521,275.529246107423,5.29212662067852,0.503740102103689,1.40377632538123,12.5990692379608,182615.78166723,83180.5451661414,60668.7831387916,242453.293646692,255886.606710951,10558480.5179663,-95482823.7312891,-9.71414381190793e-15,266.1538,264.0,1.00815833333333,527.522629094594,8.20612878616181,0.357740883117603,1.39865951041862,23.9408993435551,173320.572806403,59542.5294820156,68964.6318023424,218810.480157974,262494.803821587,20182701.5493218,-211142271.599888,-2.57251689131808e-13,360.2567,834.0,0.431962470023981,1030.36904968328,8.47108016563264,0.317311553385531,1.33940483919715,13.9883903024381,248777.746418423,109005.906586827,88213.4973562244,486817.486632139,329138.030651269,39600420.2616101,-447346774.970846,-1.56255502802833e-14,321.7947,9559.0,0.0336640548174495,1386.07569245213,5.08885174568593,0.29184117777144,1.33578395579634,6.34330519362521,497742.506166228,206436.098936256,133999.86400771,669667.092595395,244668.480348618,53288139.6068748,-600327936.993122,3.60231718506354e-13,384.8718,35693.0,0.0107828369708346,2428.64292903707,5.13378040765098,0.247558434946917,1.3085502781427,4.72805907261509,442463.369515898,199552.750157665,126046.909076953,1032479.95226722,153941.398316078,94822721.625384,-1147219954.25227,-3.00171056054789e-13,526.9232,14471.0,0.0364123557459747,2933.01706767208,10.2473912600872,0.218301601273572,1.30822935946438,7.55057233218414,363094.070328045,162436.799321938,109819.578617767,940328.283229483,191789.693240336,112582711.716231,-1419393501.78522,-6.83025272392041e-14,303.8461,33518.0,0.0090651620025061,1717.95825505193,4.57268000182357,0.282542532241118,1.27309211940549,278.32471602362,251643.545730816,144068.160433421,72033.5742828697,1116249.46712051,93126.229008479,66770255.2145309,-773194629.106374,4
0,8.11547838237595e-13,353.077,5726.0,0.0616620677610898,5570.65556999887,3.26095701838499,0.179504537265176,1.38725845593829,53.0383841176727,903515.775684981,536328.162596762,287177.11762957,1191127.06958814,123988.234638409,217590825.072863,-2762473987.69324,-1.59473489405967e-13,252.6921,3490.0,0.0724046131805158,885.170195246897,5.28901725991878,0.443161100545389,1.4015485492338,24.1394706231514,682937.279426182,402072.800833039,255486.712571457,990481.969802962,236897.756099926,33930338.3518785,-352326442.777754,3.1087637837710503e-15,262.8205,2560.0,0.1026642578125,931.735039526838,3.97386382615606,0.427026065395088,1.40448219685208,35.9677201778179,570001.300089172,415901.408478476,280902.296542073,925016.585002085,271026.238468382,35947296.3714761,-368985587.887753,-2.26874371126145e-13,561.5384,20663.0,0.0271760344577264,5861.96252079341,17.111839795894,0.181183807844841,1.31089370285512,227.224950702497,955545.288739445,539241.516404098,310182.403192198,1407329.11940132,172456.730363252,224382866.986365,-3153973495.17181,2.9716334195423797e-13,277.6922,262.0,1.05989389312977,1984.0323524755,1.99416151954079,0.27228820068043,1.31508624564449,21.4689082812586,499558.189483794,335025.98240881,216003.523807846,1070669.13621718,165772.327007812,76647770.6845403,-843991110.722363,-1.04838749135894e-12,626.1538,2774.0,0.225722350396539,4857.86732558787,8.51331972147265,0.199137611566928,1.34610206508056,11.787600812879,1368679.88447214,582040.081764543,350432.566669795,1285597.36391954,191596.042606872,186691964.483012,-2450198022.86158,2.56869780770226e-13,379.9996,4501.0,0.084425594312375,2047.04019971808,6.96568428547037,0.297882779808414,1.3669119561581,5.53266194621502,824664.663982786,527647.401472611,292449.1223023,1151913.90104793,218840.212013021,78516249.516588,-924070767.722625,9.38656451530444e-13,379.7438,5726.0,0.0663192106182326,6415.56374616709,3.59409351184797,0.168835280127105,1.36585158250989,53.2833541224358,1304914.69540597,714265.490321007,281025.384750969,1254224.89761428,115987.177966382,250719560.871344,-3242672560.55219,1
0,-9.81006670972935e-14,260.5125,12886.0,0.0202167080552538,1876.93060395683,2.56620191390814,0.311291011055012,1.25862762947973,50.4643803767572,932402.389625294,392451.901963657,149314.130941823,1571129.93907362,57790.0352571299,72920722.5817157,-801721121.15239,9.413372401852831e-14,188.5899,25822.0,0.0073034582913794,653.67618395656,6.1925971584931,0.510100934301553,1.36633920158372,422.921198748336,411413.012835921,251674.129945904,156325.535964466,1078113.32579864,205095.234838886,25041852.8527992,-253030963.975232,4.9337507832209704e-14,213.3333,26001.0,0.0082048113534094,725.002568254381,6.27083038080423,0.487247200292715,1.37921009550891,342.700596762153,359856.333317475,236605.626716374,140683.895717285,1045839.44243959,244804.537843968,27827331.3761782,-287591892.725878,-3.8278214413672e-13,667.8206,15767.0,0.0423555907908924,16307.2481642231,3.80598389641011,0.108054898869188,1.28957260143277,93.2708059915894,1347016.53607894,625572.643686229,235800.300388646,1411918.74811877,182719.750497853,635031951.095665,-8867038304.24641,-4.56073627978728e-13,325.3849,25999.0,0.012515285203277,2817.43969948742,3.08383790170854,0.236026337327607,1.35380134824095,23.6581923005536,416209.974281318,255064.053889651,137133.932925017,1027999.1606976,191211.897239279,109755756.32087,-1302258309.16647,-7.18681693333577e-13,630.1279,15749.0,0.0400106609943488,9658.11856954615,4.83099456799944,0.141738972743746,1.29176111736074,92.4943258380193,1603320.23201608,702283.799089667,237671.796533867,1405874.59433569,201763.863115957,374765326.965478,-5057119490.66216,4.96029118531378e-13,396.6666,15699.0,0.0252669978979553,3498.62211171997,7.69729076656253,0.227929929494516,1.33591788542598,144.65546809029,735481.899247613,384255.099741486,215193.328394842,1253677.55140435,214909.919058987,134475410.053402,-1710081543.77709,1.71916717677194e-13,261.4101,15315.0,0.0170688932419197,2437.14763615207,3.0138562223406,0.275716947097845,1.27136067401823,128.18492391735,1298767.96087479,452106.52855647,150075.049213806,1558936.43923597,63120.7093033907,95095398.9282693,-1096789540.45408,2
0,2.4170192611394e-13,306.6665,22101.0,0.0138756843581738,2082.24477754077,4.86714395315134,0.290717647136922,1.25480415076191,25.8259783368048,359276.601593727,247943.905842738,117472.545395222,1570144.97019309,43349.0810953782,79972394.6910635,-915013869.863713,2.06930432912956e-13,281.5385,17017.0,0.0165445436916025,789.320894125523,13.8850013443351,0.460087354893219,1.34948815129987,221.843239682527,431141.174225569,283485.847594146,167029.04507568,1121974.24516,202014.503793274,30210502.4154495,-328794382.890927,2.05576664362757e-14,224.8717,4232.0,0.0531360349716446,519.308458372155,9.64257659716161,0.57416187395172,1.36271249761729,16.7092681797397,605007.613969089,402768.325866501,156006.297499203,1089528.61647692,198042.234449079,19973246.1957243,-194607684.892035,-7.749619088129091e-14,644.8717,28347.0,0.0227492045013582,4741.75408724904,23.9089211604265,0.202781475823956,1.27355498312802,310.15061491215,1116937.83918503,451483.725654871,247834.805759058,1488110.68498978,182079.426905833,188952425.135883,-2657449919.3309,7.97326952855308e-13,306.2824,18624.0,0.0164455756013746,2491.05219089326,3.9733479164163,0.256802613137621,1.35377431908362,7.29538572884428,513630.465428067,319021.341892728,144875.045902899,1067333.10979705,210073.588040957,97657666.3679308,-1164802275.79718,1.45083568708e-13,599.2311,1031.0,0.581213482056256,3961.69773759806,21.4810691363396,0.221802386841107,1.29383254616337,28.8828134948584,1318652.26845517,533014.900737082,217524.328387248,1389873.90438787,205612.376822035,154705178.706578,-2117895815.46333,2.9702662767694e-14,446.0259,3445.0,0.129470507982583,2474.49879074913,21.9327951733712,0.272514920914658,1.30783013722506,14.596161323075,815080.758752238,434029.499756435,215635.88091928,1333897.12330274,216198.49509915,95366065.5245254,-1252645420.25735,8.93487243131063e-14,343.7183,2001.0,0.171773263368316,2315.09469667601,3.94310056036557,0.278261379311213,1.26367430883876,26.6061754246704,596094.242992135,247450.347207171,138549.541291668,1565170.11165372,49951.4759367689,89149005.8447169,-1025673122.07524,3
0,2.34682688192027e-13,425.6408,23709.0,0.0179527099413725,10858.882950741,3.57580257476251,0.127200538458695,1.3916529959173,174.538129027582,1473682.87311213,541685.824278394,194338.854412103,1188151.58916435,119653.855364988,425013218.687206,-5780829375.777,2.07857712358975e-13,371.0254,3738.0,0.0992577314071696,1743.68184046096,10.4199592941416,0.321420921098656,1.37175814599926,20.9302752675327,888964.251033599,420827.53528069,217001.566542061,1158669.84548834,216442.823339296,67017933.8303121,-798428846.277976,-1.06631192193248e-13,231.7949,13761.0,0.0168443354407383,754.28585850227,5.23778798050379,0.467901882727619,1.39539685223379,2.94563558265809,369719.036067865,269508.323991487,206245.924468243,977201.446390912,263122.025567186,28994682.0168239,-292776998.232932,2.2275511051017302e-14,680.256,4988.0,0.136378508420208,8300.11479711502,8.55246965963159,0.152830927699217,1.29759489500948,1.49275668437536,2645772.44756034,700363.554508978,246680.529911492,1368935.83817929,207418.876092331,321467124.957591,-4364774023.84132,8.405550414207741e-14,214.2306,10263.0,0.0208740719087986,1406.66674944216,2.40649046951964,0.326929041050274,1.33232097531006,229.637184804758,354165.980192786,227445.944502286,179830.811678825,1068414.28662926,182736.526217915,54018277.1640208,-573527354.255075,-7.48183742759584e-13,663.3332,2570.0,0.258106303501946,9292.31316485279,5.15733754287736,0.14590493505633,1.30649028800518,10.393359782122,2639261.18573605,779839.10727795,262428.708626557,1400007.32452415,192233.454334036,362495925.548524,-4919457970.06106,6.79981150685035e-13,523.9745,3098.0,0.169133150419626,3576.76755485034,5.79640104546016,0.229362333158908,1.33560464336003,12.745417507865,1159729.56903752,507031.470230021,263504.517141212,1311948.12251109,233060.376641901,139909389.688171,-1750610849.41918,-1.36512475136281e-12,447.0511,22594.0,0.0197862751172878,11598.7220775066,3.63271888557958,0.124024518197185,1.36228573199387,146.963524970398,1724911.86506575,694654.968116457,200864.749726783,1274592.09687581,103049.873336692,453026898.955624,-6194272352.76949,4
0,-6.26777006444904e-13,281.2824,498.0,0.564824096385542,2174.45649519818,3.25887679786303,0.298459673375949,1.39072176777436,197.026484921482,1454948.81254392,559646.074470243,602250.364723804,1080759.47946057,232798.27562922,83597170.0538729,-946247276.800192,-2.00613341686947e-13,409.6153,26671.0,0.0153580780623149,1085.07481837812,6.10889565960577,0.380768540753759,1.41451803502543,246.580116858666,652129.092706586,255797.675184516,243704.378328651,923556.727873172,172293.39622982,41531500.8939154,-440140938.015056,2.0672090342274902e-14,503.2052,18846.0,0.02670090204818,2241.30565860766,5.15078649984668,0.255227875568217,1.38953190653226,97.447747880525,956563.401482796,272490.811875852,249099.423768693,899039.648652103,191591.607058176,85966809.777897,-1020447328.26556,-3.09305650212934e-13,295.128,4713.0,0.0626199872692552,591.586255930178,5.18106999206492,0.520098994037035,1.31454706565736,37.4756491644116,520507.89548477,289501.514090969,463101.216200861,941136.47994387,341346.464117512,22871147.0992151,-216560630.025593,-8.25769095126069e-14,221.2822,19045.0,0.0116189131005513,940.733464534652,3.21501509784613,0.410713288375996,1.38861952478315,259.94685732161,703274.266730519,344525.628801206,283025.958245565,966257.911252216,202042.725280431,36014426.569677,-361864361.734635,9.315517671852199e-13,677.0512,4454.0,0.152009699146834,6135.46350210401,3.85354022540483,0.178952260487735,1.25490023550776,11.8571072816676,2931176.89725966,709774.408065998,343315.677939441,1515835.68002081,193203.013746151,236030317.862333,-3005515853.57075,-7.29292653084064e-14,333.0768,2756.0,0.120855152394775,2202.89113844178,3.42915886272323,0.289076585530805,1.33186212229452,27.8423409385319,957435.795327017,386357.014994607,253084.763827093,1209335.32922762,198165.862564455,84292553.6139243,-973157135.425282,3.41553873382923e-13,282.3075,22716.0,0.0124276941362916,2062.17584968957,3.28013941421661,0.305900455695572,1.28653325000112,13.5127725587306,1232858.75461349,499223.073301591,628661.433502244,1305719.47034292,236276.331845251,79157471.6449652,-889580695.873005,1
0,-3.2510209333984e-13,292.3071,13989.0,0.0208954964615055,893.000365077155,7.57899223328589,0.461664790317389,1.49306998779637,24.8840944422857,1240007.96651592,468201.062751961,147954.932784005,1015763.60947217,130153.938583515,35015396.9929147,-361678453.925196,-3.30533235183279e-14,275.641,174.0,1.58414367816092,291.015819391865,7.86400603719925,0.697875264256287,1.47547592306091,20.807731132914,341125.190228708,144303.310789902,78805.9780319322,761360.084917721,134052.820006138,11146074.7253404,-93398153.1715619,3.67839422230549e-14,431.154,13456.0,0.0320417657550535,1336.01257828764,5.4979564906432,0.323423492806634,1.42329887791447,10.4992008667629,585713.961270053,172500.908982053,94695.9313296795,847668.092352829,165845.870432194,51223625.3133193,-567131908.423729,-3.88301240070241e-13,309.7436,15708.0,0.0197188439011968,528.836234768586,8.84726892998439,0.543404723023204,1.30585092721358,148.606902950037,284534.494387042,238426.391725099,142849.538374749,1114172.99507958,198469.898597069,20236680.3161865,-193724499.134956,1.77831096195076e-13,193.4617,32945.0,0.0058722628623463,609.236827307982,5.02185562752008,0.511311780290801,1.40145272453039,8.0905113483301,665638.20322185,278145.297419599,153721.362486668,997266.291041001,140517.598728541,23366106.6513025,-224404844.27214,4.66246210427009e-13,623.0768,241.0,2.58538091286307,2736.22532734195,5.02904506368358,0.271095677708096,1.23187142585504,6.20313669923991,2961565.90250998,811604.410665903,214887.976197598,1696413.06854227,119708.367470703,104699171.412417,-1219350507.92768,-5.1238876503976e-14,312.0515,129.0,2.41900387596899,961.306035838504,5.26813624697173,0.419520618018466,1.38802542556328,12.2102582620691,863139.873745579,394416.084528411,217855.869394591,970342.205636959,236294.449910369,37070377.5938614,-381736556.934454,-3.11836350367696e-13,256.7952,16800.0,0.0152854285714286,822.534946251517,5.90126764585892,0.472658798512022,1.35234612757328,0.010418583280538,969485.459629441,373828.084082536,146612.847777536,1283178.63567938,147313.253687144,32346110.4668198,-323810474.324748,2
