,AF3 Mean,AF3 Peak_to_Peak_Time,AF3 Peak_to_Peak_Slope,AF3 Mobility,AF3 LAR,AF3 Beta_Power,AF3 Gamma_Power,AF4 Mean,AF4 Peak_to_Peak_Time,AF4 Peak_to_Peak_Slope,AF4 Mobility,AF4 LAR,AF4 Beta_Power,AF4 Gamma_Power,F7 Mean,F7 Peak_to_Peak_Time,F7 Peak_to_Peak_Slope,F7 Mobility,F7 LAR,F7 Beta_Power,F7 Gamma_Power,F3 Mean,F3 Peak_to_Peak_Time,F3 Peak_to_Peak_Slope,F3 Mobility,F3 LAR,F3 Beta_Power,F3 Gamma_Power,F4 Mean,F4 Peak_to_Peak_Time,F4 Peak_to_Peak_Slope,F4 Mobility,F4 LAR,F4 Beta_Power,F4 Gamma_Power,F8 Mean,F8 Peak_to_Peak_Time,F8 Peak_to_Peak_Slope,F8 Mobility,F8 LAR,F8 Beta_Power,F8 Gamma_Power,FC5 Mean,FC5 Peak_to_Peak_Time,FC5 Peak_to_Peak_Slope,FC5 Mobility,FC5 LAR,FC5 Beta_Power,FC5 Gamma_Power,FC6 Mean,FC6 Peak_to_Peak_Time,FC6 Peak_to_Peak_Slope,FC6 Mobility,FC6 LAR,FC6 Beta_Power,FC6 Gamma_Power,label
0,-2.87712224523653e-13,3.5902358038197305e-15,-9.92330179592598e-15,1.490780032447e-14,6.257947440830141e-14,-3.64729915434401e-13,8.364536131018411e-14,-3.7169008387237297e-13,20860.0,0.0115544343240652,4354.0,0.0779123794212219,4155.0,0.190101612515042,2849.0,0.192195156195156,1503.0,1.78088256819694,29704.0,0.0089170482089954,449.0,1.28233652561247,3326.0,0.0987558027660854,0.351985398147741,0.29777766407982,0.196053983248906,0.303323233090986,0.0988385895658846,0.354800323845308,0.221948098126411,0.313890392772549,233.377997283462,14.8533833927103,1.35597243313078,15.4375720683753,24.6195691145769,37.8541870959163,84.2379693428618,73.4182143771597,553432.083343256,109006.745543827,511682.021111525,132783.821859995,671090.401147331,113313.301429076,932764.989572005,140933.53148382,830665.143365819,186321.295344426,1158959.4723616,143440.363888671,1198883.30348344,143152.071094067,1396349.41787748,77574.8735095834,1
0,-4.6007326360206405e-15,-7.34839240475519e-16,-2.01802161489536e-15,4.99096273622058e-14,4.11331651695902e-14,6.89099398570895e-13,-2.27807594671177e-14,1.56046716325003e-13,203.0,0.724390147783251,211.0,1.34281184834123,4955.0,0.0798727346115035,8705.0,0.0297500861573808,21625.0,0.0127108393063584,7419.0,0.039710958350182,4268.0,0.0917381443298969,30917.0,0.011710437623314,0.523335357337366,0.331861691833692,0.257124655868747,0.343057054912433,0.347736275254563,0.295682364827316,0.236421782949111,0.336585781651737,34.2485834062036,20.8029229658521,11.7373553475658,274.047461116845,225.470878220992,29.159301478346,142.764926974507,210.143602326834,323915.722039205,235542.595504751,264638.93126439,141128.559743553,354627.600823407,179062.450112065,704393.44495255,141281.806609781,701831.605867854,133686.913827744,1227554.05906599,136826.342800586,1211467.40646254,139486.888499585,1233017.23359887,115625.38162686,2
0,-2.53604984387365e-14,7.667887726701071e-15,8.45548084591649e-15,-2.9839377044991804e-15,2.19338368096293e-13,-2.94623725650956e-13,-3.39619069154209e-13,3.71743952269678e-14,329.0,1.07396200607903,25932.0,0.0088248573191423,39.0,15.0,215.0,2.04174093023256,5288.0,0.419115336611195,31280.0,0.0130746291560102,240.0,2.25854791666667,20915.0,0.013448816638776,0.348669035508522,0.396874989007929,0.269447986637022,0.281977064690852,0.124266135188489,0.233781897058993,0.250720249400164,0.365558659998877,20.4204859020035,360.50813442438,65.4290222987544,15.1238742266115,18.2487003523095,6.88376889289249,10.8760689774288,159.723885789278,274191.06442714,146810.356091725,193868.848337166,174065.309913231,277868.813431929,124059.633269189,582311.801168371,102928.527836904,748000.329515217,110956.968966982,1124683.3985233,126349.157818116,1036075.47012425,119273.11459432,886134.779919391,179423.488007117,3
0,9.87002780852245e-14,-1.9202411861323902e-14,-9.71414381190793e-15,-2.57251689131808e-13,-1.56255502802833e-14,3.60231718506354e-13,-3.00171056054789e-13,-6.83025272392041e-14,11079.0,0.0226115082588681,1682.0,0.119973186682521,264.0,1.00815833333333,834.0,0.431962470023981,9559.0,0.0336640548174495,35693.0,0.0107828369708346,14471.0,0.0364123557459747,33518.0,0.0090651620025061,0.350799340170754,0.503740102103689,0.357740883117603,0.317311553385531,0.29184117777144,0.247558434946917,0.218301601273572,0.282542532241118,144.979125099178,12.5990692379608,23.9408993435551,13.9883903024381,6.34330519362521,4.72805907261509,7.55057233218414,278.32471602362,237736.940795987,320758.376846526,242453.293646692,255886.606710951,218810.480157974,262494.803821587,486817.486632139,329138.030651269,669667.092595395,244668.480348618,1032479.95226722,153941.398316078,940328.283229483,191789.693240336,1116249.46712051,93126.229008479,4
0,8.11547838237595e-13,-1.59473489405967e-13,3.1087637837710503e-15,-2.26874371126145e-13,2.9716334195423797e-13,-1.04838749135894e-12,2.56869780770226e-13,9.38656451530444e-13,5726.0,0.0616620677610898,3490.0,0.0724046131805158,2560.0,0.1026642578125,20663.0,0.0271760344577264,262.0,1.05989389312977,2774.0,0.225722350396539,4501.0,0.084425594312375,5726.0,0.0663192106182326,0.179504537265176,0.443161100545389,0.427026065395088,0.181183807844841,0.27228820068043,0.199137611566928,0.297882779808414,0.168835280127105,53.0383841176727,24.1394706231514,35.9677201778179,227.224950702497,21.4689082812586,11.787600812879,5.53266194621502,53.2833541224358,1191127.06958814,123988.234638409,990481.969802962,236897.756099926,925016.585002085,271026.238468382,1407329.11940132,172456.730363252,1070669.13621718,165772.327007812,1285597.36391954,191596.042606872,1151913.90104793,218840.212013021,1254224.89761428,115987.177966382,1
0,-9.81006670972935e-14,9.413372401852831e-14,4.9337507832209704e-14,-3.8278214413672e-13,-4.56073627978728e-13,-7.18681693333577e-13,4.96029118531378e-13,1.71916717677194e-13,12886.0,0.0202167080552538,25822.0,0.0073034582913794,26001.0,0.0082048113534094,15767.0,0.0423555907908924,25999.0,0.012515285203277,15749.0,0.0400106609943488,15699.0,0.0252669978979553,15315.0,0.0170688932419197,0.311291011055012,0.510100934301553,0.487247200292715,0.108054898869188,0.236026337327607,0.141738972743746,0.227929929494516,0.275716947097845,50.4643803767572,422.921198748336,342.700596762153,93.2708059915894,23.6581923005536,92.4943258380193,144.65546809029,128.18492391735,1571129.93907362,57790.0352571299,1078113.32579864,205095.234838886,1045839.44243959,244804.537843968,1411918.74811877,182719.750497853,1027999.1606976,191211.897239279,1405874.59433569,201763.863115957,1253677.55140435,214909.919058987,1558936.43923597,63120.7093033907,2
0,2.4170192611394e-13,2.06930432912956e-13,2.05576664362757e-14,-7.749619088129091e-14,7.97326952855308e-13,1.45083568708e-13,2.9702662767694e-14,8.93487243131063e-14,22101.0,0.0138756843581738,17017.0,0.0165445436916025,4232.0,0.0531360349716446,28347.0,0.0227492045013582,18624.0,0.0164455756013746,1031.0,0.581213482056256,3445.0,0.129470507982583,2001.0,0.171773263368316,0.290717647136922,0.460087354893219,0.57416187395172,0.202781475823956,0.256802613137621,0.221802386841107,0.272514920914658,0.278261379311213,25.8259783368048,221.843239682527,16.7092681797397,310.15061491215,7.29538572884428,28.8828134948584,14.596161323075,26.6061754246704,1570144.97019309,43349.0810953782,1121974.24516,202014.503793274,1089528.61647692,198042.234449079,1488110.68498978,182079.426905833,1067333.10979705,210073.588040957,1389873.90438787,205612.376822035,1333897.12330274,216198.49509915,1565170.11165372,49951.4759367689,3
0,2.34682688192027e-13,2.07857712358975e-13,-1.06631192193248e-13,2.2275511051017302e-14,8.405550414207741e-14,-7.48183742759584e-13,6.79981150685035e-13,-1.36512475136281e-12,23709.0,0.0179527099413725,3738.0,0.0992577314071696,13761.0,0.0168443354407383,4988.0,0.136378508420208,10263.0,0.0208740719087986,2570.0,0.258106303501946,3098.0,0.169133150419626,22594.0,0.0197862751172878,0.127200538458695,0.321420921098656,0.467901882727619,0.152830927699217,0.326929041050274,0.14590493505633,0.229362333158908,0.124024518197185,174.538129027582,20.9302752675327,2.94563558265809,1.49275668437536,229.637184804758,10.393359782122,12.745417507865,146.963524970398,1188151.58916435,119653.855364988,1158669.84548834,216442.823339296,977201.446390912,263122.025567186,1368935.83817929,207418.876092331,1068414.28662926,182736.526217915,1400007.32452415,192233.454334036,1311948.12251109,233060.376641901,1274592.09687581,103049.873336692,4
0,-6.26777006444904e-13,-2.00613341686947e-13,2.0672090342274902e-14,-3.09305650212934e-13,-8.25769095126069e-14,9.315517671852199e-13,-7.29292653084064e-14,3.41553873382923e-13,498.0,0.564824096385542,26671.0,0.0153580780623149,18846.0,0.02670090204818,4713.0,0.0626199872692552,19045.0,0.0116189131005513,4454.0,0.152009699146834,2756.0,0.120855152394775,22716.0,0.0124276941362916,0.298459673375949,0.380768540753759,0.255227875568217,0.520098994037035,0.410713288375996,0.178952260487735,0.289076585530805,0.305900455695572,197.026484921482,246.580116858666,97.447747880525,37.4756491644116,259.94685732161,11.8571072816676,27.8423409385319,13.5127725587306,1080759.47946057,232798.27562922,923556.727873172,172293.39622982,899039.648652103,191591.607058176,941136.47994387,341346.464117512,966257.911252216,202042.725280431,1515835.68002081,193203.013746151,1209335.32922762,198165.862564455,1305719.47034292,236276.331845251,1
0,-3.2510209333984e-13,-3.30533235183279e-14,3.67839422230549e-14,-3.88301240070241e-13,1.77831096195076e-13,4.66246210427009e-13,-5.1238876503976e-14,-3.11836350367696e-13,13989.0,0.0208954964615055,174.0,1.58414367816092,13456.0,0.0320417657550535,15708.0,0.0197188439011968,32945.0,0.0058722628623463,241.0,2.58538091286307,129.0,2.41900387596899,16800.0,0.0152854285714286,0.461664790317389,0.697875264256287,0.323423492806634,0.543404723023204,0.511311780290801,0.271095677708096,0.419520618018466,0.472658798512022,24.8840944422857,20.807731132914,10.4992008667629,148.606902950037,8.0905113483301,6.20313669923991,12.2102582620691,0.010418583280538,1015763.60947217,130153.938583515,761360.084917721,134052.820006138,847668.092352829,165845.870432194,1114172.99507958,198469.898597069,997266.291041001,140517.598728541,1696413.06854227,119708.367470703,970342.205636959,236294.449910369,1283178.63567938,147313.253687144,2
