,AF3 Mean,AF3 Peak_to_Peak,AF3 Peak_to_Peak_Time,AF3 Peak_to_Peak_Slope,AF3 Signal_Power,AF3 Kurtosis,AF3 Mobility,AF3 Complexity,AF3 LAR,AF3 Delta_Power,AF3 Theta_Power,AF3 Alpha_Power,AF3 Beta_Power,AF3 Gamma_Power,AF3 WT_Energy,AF3 WT_Entropy,AF4 Mean,AF4 Peak_to_Peak,AF4 Peak_to_Peak_Time,AF4 Peak_to_Peak_Slope,AF4 Signal_Power,AF4 Kurtosis,AF4 Mobility,AF4 Complexity,AF4 LAR,AF4 Delta_Power,AF4 Theta_Power,AF4 Alpha_Power,AF4 Beta_Power,AF4 Gamma_Power,AF4 WT_Energy,AF4 WT_Entropy,F7 Mean,F7 Peak_to_Peak,F7 Peak_to_Peak_Time,F7 Peak_to_Peak_Slope,F7 Signal_Power,F7 Kurtosis,F7 Mobility,F7 Complexity,F7 LAR,F7 Delta_Power,F7 Theta_Power,F7 Alpha_Power,F7 Beta_Power,F7 Gamma_Power,F7 WT_Energy,F7 WT_Entropy,F3 Mean,F3 Peak_to_Peak,F3 Peak_to_Peak_Time,F3 Peak_to_Peak_Slope,F3 Signal_Power,F3 Kurtosis,F3 Mobility,F3 Complexity,F3 LAR,F3 Delta_Power,F3 Theta_Power,F3 Alpha_Power,F3 Beta_Power,F3 Gamma_Power,F3 WT_Energy,F3 WT_Entropy,F4 Mean,F4 Peak_to_Peak,F4 Peak_to_Peak_Time,F4 Peak_to_Peak_Slope,F4 Signal_Power,F4 Kurtosis,F4 Mobility,F4 Complexity,F4 LAR,F4 Delta_Power,F4 Theta_Power,F4 Alpha_Power,F4 Beta_Power,F4 Gamma_Power,F4 WT_Energy,F4 WT_Entropy,F8 Mean,F8 Peak_to_Peak,F8 Peak_to_Peak_Time,F8 Peak_to_Peak_Slope,F8 Signal_Power,F8 Kurtosis,F8 Mobility,F8 Complexity,F8 LAR,F8 Delta_Power,F8 Theta_Power,F8 Alpha_Power,F8 Beta_Power,F8 Gamma_Power,F8 WT_Energy,F8 WT_Entropy,FC5 Mean,FC5 Peak_to_Peak,FC5 Peak_to_Peak_Time,FC5 Peak_to_Peak_Slope,FC5 Signal_Power,FC5 Kurtosis,FC5 Mobility,FC5 Complexity,FC5 LAR,FC5 Delta_Power,FC5 Theta_Power,FC5 Alpha_Power,FC5 Beta_Power,FC5 Gamma_Power,FC5 WT_Energy,FC5 WT_Entropy,FC6 Mean,FC6 Peak_to_Peak,FC6 Peak_to_Peak_Time,FC6 Peak_to_Peak_Slope,FC6 Signal_Power,FC6 Kurtosis,FC6 Mobility,FC6 Complexity,FC6 LAR,FC6 Delta_Power,FC6 Theta_Power,FC6 Alpha_Power,FC6 Beta_Power,FC6 Gamma_Power,FC6 WT_Energy,FC6 WT_Entropy,label
0,7.33979206302138e-08,113.298278808594,31454.0,0.0036020309198647,126.253479003906,3.78916954994202,0.760470330715179,1.26728117465973,67.4095993041992,414355.0,143687.203125,109895.359375,553390.0,108827.640625,4842265.5,-32227940.0,-1.26052952964528e-07,161.179321289062,2145.0,0.0751418769359589,161.506790161133,7.38951396942139,0.674445271492004,1.28434872627258,21.0977954864502,449938.34375,102669.234375,104158.015625,511607.84375,132642.40625,6183034.5,-48834044.0,1.42208463671523e-07,537.107788085938,42.0,12.7882804870605,277.682678222656,39.140941619873,0.555002868175507,1.24035501480103,2.39974403381348,954638.8125,127498.9609375,110755.4453125,670693.9375,113044.25,10760909.0,-101138272.0,-4.78682089521953e-08,214.214828491211,869.0,0.246507287025452,236.948257446289,6.96517467498779,0.696847021579742,1.21508514881134,56.8634223937988,463528.78125,173340.109375,154903.0,932647.0,140773.28125,9069446.0,-73743880.0,-2.10620115126403e-07,1053.82495117188,1501.0,0.702081918716431,915.453735351562,102.990257263184,0.355572104454041,1.25022912025452,68.9808807373047,1783245.5,247291.453125,158599.0,828870.1875,185554.90625,35020116.0,-451375200.0,4.53152381396649e-07,171.966171264648,16913.0,0.0101676918566227,245.488021850586,3.75690579414368,0.752437949180603,1.21283745765686,234.299468994141,804772.75,260614.625,172650.390625,1159056.125,143361.625,9411593.0,-69174352.0,2.77635592738079e-07,300.286010742188,51.0,5.88796091079712,318.839996337891,8.04637050628662,0.669192552566528,1.21126675605774,231.422576904297,794881.4375,237809.390625,185594.71875,1198284.75,142783.0,12224791.0,-102903840.0,5.62451454300117e-08,178.406677246094,19173.0,0.0093050999566912,243.745681762695,3.54788279533386,0.779083132743835,1.15956497192383,315.278472900391,605292.75,397171.25,232113.71875,1396353.25,77356.4296875,9328564.0,-66302328.0,1
0,-2.71253171035823e-08,84.8927764892578,22031.0,0.0038533329498022,84.8367004394531,3.36651110649109,0.922861516475677,1.34998869895935,759.340026855469,248158.71875,91394.5859375,47402.54296875,323900.875,235484.375,3255066.0,-18980364.0,5.98352585257089e-08,115.217575073242,21679.0,0.0053147091530263,94.8712768554688,5.15324831008911,0.744117438793182,1.36179995536804,483.645721435547,245374.640625,96896.421875,48224.05078125,264573.125,141012.734375,3658638.5,-25060952.0,-9.57364179043907e-08,266.305419921875,20.0,13.3152713775635,141.683929443359,10.5619678497314,0.679347634315491,1.32993674278259,71.0829315185547,392320.25,101955.15625,52827.07421875,354420.84375,178924.484375,5468701.0,-42047516.0,6.22286719931253e-08,120.930503845215,2086.0,0.0579724386334419,162.446624755859,3.89421939849854,0.776369750499725,1.27095746994019,354.317352294922,254281.671875,84713.328125,69947.84375,704306.3125,141160.375,6240744.5,-45407016.0,-6.382427919504611e-09,159.912963867188,27518.0,0.0058112130500376,155.536666870117,4.43951940536499,0.804381430149078,1.28581178188324,526.5068359375,535204.1875,162746.5625,79958.953125,701691.0,133540.03125,5974237.0,-40571036.0,6.22286719931253e-08,112.324020385742,982.0,0.114382915198803,196.735443115234,2.84962058067322,0.892746150493622,1.24552690982819,413.331329345703,588946.9375,250536.265625,88014.5703125,1227631.25,136760.34375,7547594.0,-49193508.0,5.90374575892838e-08,161.79426574707,1002.0,0.161471322178841,256.203491210938,3.50223970413208,0.780127942562103,1.24869668483734,358.7861328125,389677.40625,215916.0625,84878.5859375,1210801.5,139103.15625,9811745.0,-73372576.0,3.1912139597523e-09,130.033645629883,44.0,2.95531010627747,188.77880859375,3.01137280464172,0.88529497385025,1.22497773170471,473.109039306641,384331.6875,181743.34375,82355.046875,1232886.375,115475.8125,7228372.0,-48289504.0,2
0,-3.55022535813987e-08,110.496002197266,21291.0,0.005189798772335,79.6364669799805,5.15910720825195,0.819254279136658,1.34747779369354,537.818115234375,261389.96875,84526.6171875,58773.9609375,274132.3125,146732.46875,3047630.0,-19092848.0,-7.02067026736586e-08,108.308815002441,5145.0,0.0210512764751911,71.3799438476562,4.46125936508179,0.834027647972107,1.37692654132843,176.612411499023,188913.34375,84590.53125,59468.03125,193836.90625,174000.171875,2740671.5,-16745336.0,1.5956069798761502e-09,526.602111816406,39.0,13.5026178359985,149.53791809082,114.606620788574,0.571162104606628,1.31049513816833,57.4911689758301,958162.0625,95563.875,64320.328125,277688.3125,123955.7578125,5725630.5,-53802548.0,3.98901747189484e-08,130.789947509766,74.0,1.76743173599243,135.37060546875,4.87556743621826,0.773238658905029,1.28280460834503,57.3464546203613,205461.78125,73061.59375,80951.0390625,582014.9375,102769.4296875,5192513.5,-37670792.0,3.38268677069209e-07,1003.73083496094,5288.0,0.189812943339348,740.414855957031,123.548294067383,0.376264780759811,1.2788450717926,42.8880653381348,2185791.25,188871.5625,96664.2109375,746272.5,110204.8125,28404208.0,-363359360.0,-3.59011558259681e-08,230.44482421875,106.0,2.17400789260864,224.472290039062,5.51663255691528,0.805195331573486,1.24975907802582,272.922698974609,786173.0,239570.03125,140363.5625,1124631.125,126244.2265625,8621619.0,-62231516.0,2.71253185246678e-07,150.392822265625,128.0,1.1749439239502,200.695755004883,3.96870636940002,0.822884500026703,1.26211643218994,51.3325386047363,408338.9375,155191.296875,104206.6640625,1035711.0,119043.9375,7679503.0,-54592584.0,3.01569713201388e-07,146.967437744141,3443.0,0.042685866355896,142.200714111328,3.39757752418518,0.934608936309814,1.26245415210724,62.4269790649414,282796.71875,129657.6796875,80017.5703125,886021.9375,179330.3125,5445047.5,-34588552.0,3
0,9.39413595801852e-08,133.4677734375,6727.0,0.0198406092822552,99.8402938842773,5.23242235183716,0.843079268932343,1.34377181529999,442.296417236328,254313.265625,87869.453125,63302.0234375,237673.15625,320698.03125,3820001.5,-25117590.0,2.79231215927211e-08,128.685180664062,15870.0,0.0081087071448564,74.7826766967773,4.39484167098999,0.922010540962219,1.33893918991089,19.0772933959961,179447.8125,83072.5078125,60624.08984375,242429.03125,255846.1875,2862736.0,-16763007.0,-7.41957251193526e-08,102.521881103516,19524.0,0.0052510695531964,82.843132019043,4.23525667190552,0.865936160087585,1.34220540523529,787.404907226562,168300.296875,59292.5078125,68828.265625,218717.65625,262410.71875,3171027.75,-19899956.0,1.08501268414329e-07,129.435302734375,858.0,0.150857001543045,138.023010253906,4.71302270889282,0.841853082180023,1.29522383213043,43.0418434143066,241036.28125,108386.0625,87962.9609375,486626.5625,329064.34375,5281808.5,-36704464.0,-3.66989603151069e-08,172.185684204102,5674.0,0.0303464364260435,166.920547485352,3.64660120010376,0.80897581577301,1.27746999263763,75.5873260498047,487364.5,205696.359375,133801.484375,669484.75,244529.125,6389040.0,-42880752.0,4.46769945483538e-08,135.116882324219,1004.0,0.134578570723534,167.11750793457,3.14157271385193,0.911554396152496,1.25314235687256,15.3719425201416,435403.125,199074.34375,125952.5,1032474.4375,153863.28125,6403509.5,-40753748.0,-1.9386624217077e-07,149.680999755859,82.0,1.82537806034088,199.581771850586,3.95357394218445,0.809222400188446,1.25665855407715,33.0601959228516,347288.53125,160383.0,109137.2421875,939756.5,191510.921875,7644102.5,-55235764.0,6.70154918225307e-08,110.466705322266,29529.0,0.0037409565411508,145.337966918945,2.80252528190613,0.934787273406982,1.2058322429657,646.09033203125,246270.125,143631.0625,71895.046875,1116081.375,93021.40625,5560385.0,-34734040.0,4
0,-5.14583220478926e-08,183.48095703125,19837.0,0.0092494310811162,236.540054321289,3.55557131767273,0.783061802387238,1.2278847694397,69.5354385375977,897441.9375,536502.0,287056.6875,1191013.0,123809.265625,9053983.0,-61668172.0,7.03064273466225e-08,138.074401855469,146.0,0.945715069770813,201.206970214844,3.11505246162415,0.867547154426575,1.30672430992126,92.0320434570312,678831.5,402028.71875,255419.09375,990488.75,236788.4375,7705289.5,-50196172.0,-1.69134338534604e-07,134.758911132812,5129.0,0.0262739155441523,189.15185546875,3.19793391227722,0.884757041931152,1.3099912405014,168.651138305664,567256.0,415925.9375,280875.375,925061.6875,270933.9375,7242425.5,-46041524.0,-1.13288095349162e-07,183.29753112793,25287.0,0.0072486861608922,269.283325195312,3.16705107688904,0.79699319601059,1.21223044395447,8.14342498779297,942913.8125,538165.8125,309794.28125,1406925.5,172220.734375,10307759.0,-70995624.0,4.98627166223287e-08,165.260330200195,23173.0,0.0071315895766019,177.678588867188,3.52516436576843,0.862195372581482,1.22311460971832,319.511108398438,496554.59375,335021.8125,216022.765625,1070631.75,165720.0,6818346.0,-44075732.0,2.52105905929056e-07,171.483627319336,4388.0,0.0390801355242729,324.708404541016,3.15093088150024,0.721314013004303,1.24459290504456,8.36187267303467,1355810.75,581429.8125,350204.25,1285332.5,191378.125,12464158.0,-92050472.0,7.81847404596192e-08,175.475524902344,11963.0,0.0146681871265173,231.970901489258,3.35242342948914,0.823643624782562,1.25764203071594,9.84126949310303,820934.625,527416.5,292393.1875,1151843.5,218715.09375,8891178.0,-59549252.0,9.09495980749853e-08,170.219818115234,24551.0,0.0069333151914179,272.177673339844,3.38549566268921,0.74434232711792,1.21691513061523,69.7274856567383,1298418.25,714445.3125,280956.125,1254113.75,115823.7265625,10422516.0,-73135552.0,1
0,-1.98653069105603e-07,154.675872802734,20.0,7.73379373550415,246.653121948242,3.1886875629425,0.808039724826813,1.14285254478455,311.986206054688,927398.375,392317.1875,149235.109375,1570698.25,57687.609375,9438952.0,-64539104.0,-1.22861735007973e-07,153.287887573242,11829.0,0.0129586514085531,166.16569519043,3.13764429092407,0.960253357887268,1.29018318653107,610.9384765625,409463.125,251719.40625,156307.59375,1078054.625,205041.875,6362204.0,-38813464.0,1.75317310890932e-07,162.395172119141,11613.0,0.0139839118346572,160.506301879883,3.15423178672791,0.980809271335602,1.30179679393768,392.599456787109,357929.0625,236625.25,140679.25,1045778.1875,244731.828125,6142500.5,-37108864.0,4.16852294904402e-08,177.465850830078,17275.0,0.0102729871869087,291.803680419922,3.24571394920349,0.778926372528076,1.2266640663147,197.346633911133,1338773.25,625557.625,235605.21875,1411718.25,182649.03125,11231021.0,-79981528.0,-9.09495980749853e-08,167.847793579102,710.0,0.236405342817307,156.792541503906,3.30927300453186,0.952976405620575,1.27981925010681,378.663330078125,414319.6875,255007.984375,137122.984375,1027929.375,191141.0,6005221.0,-36796904.0,1.02019114933682e-07,209.474822998047,13029.0,0.0160775817930698,333.473480224609,3.48954296112061,0.737967491149902,1.23511838912964,175.856033325195,1591134.0,702201.625,237464.484375,1405743.625,201708.875,12852597.0,-94890168.0,-1.21266126029695e-07,181.317718505859,10140.0,0.0178814325481653,221.85221862793,3.26335668563843,0.855311691761017,1.24382054805756,225.723037719727,733184.875,384036.71875,215165.828125,1253602.875,214872.78125,8492431.0,-55972328.0,-1.34878646917969e-07,164.033386230469,15.0,10.9355592727661,274.476623535156,3.27650737762451,0.770407855510712,1.15195322036743,305.264038085938,1293902.75,451919.21875,149965.671875,1558480.625,63009.51953125,10505316.0,-73951152.0,2
0,1.85090399895671e-07,108.546356201172,2205.0,0.0492273718118668,183.456130981445,2.60812950134277,0.921826183795929,1.13836479187012,297.167633056641,356420.5625,247641.640625,117388.90625,1569688.0,43282.94140625,7028775.0,-44216056.0,-1.64995725526751e-07,142.939331054688,2637.0,0.0542052835226059,174.423889160156,3.05125522613525,0.921447277069092,1.25645458698273,196.662414550781,427900.40625,283516.875,167035.09375,1121841.0,201965.609375,6677621.0,-41863620.0,-1.58762887281227e-07,159.964584350586,16246.0,0.0098463986068964,187.108154296875,3.25090980529785,0.90057247877121,1.27280342578888,422.788848876953,602146.1875,402859.09375,155991.59375,1089417.625,198018.515625,7166700.0,-45305620.0,1.01719940914791e-07,281.072021484375,4734.0,0.0593730509281158,288.061645507812,5.70999526977539,0.796159207820892,1.21496021747589,34.4297752380371,1103426.5,450277.0,247369.109375,1487694.0,181982.25,11026005.0,-80181728.0,-1.49987045006128e-07,138.690200805664,3952.0,0.0350936725735664,177.555725097656,3.27417659759521,0.915267467498779,1.27700936794281,488.238861083984,509838.5625,319007.5,144856.359375,1067279.75,210042.625,6798475.5,-42727036.0,-6.54198828442532e-08,267.019622802734,4734.0,0.0564046502113342,314.883422851562,5.01675701141357,0.762115716934204,1.2397129535675,35.5829124450684,1302150.75,531201.3125,216963.171875,1389410.75,205487.9375,12059262.0,-89642696.0,5.74418486110062e-08,170.214172363281,4739.0,0.0359177403151989,236.315795898438,3.27031755447388,0.843137383460999,1.23221552371979,54.8656387329102,807361.375,433436.15625,215331.65625,1333507.625,216109.875,9045699.0,-60938296.0,2.33357511092436e-07,109.59342956543,20706.0,0.0052928342483937,201.085815429688,2.74564933776855,0.886596441268921,1.14497601985931,284.766265869141,593064.5625,247305.734375,138451.875,1564660.0,49875.2578125,7703386.0,-49584508.0,3
0,-1.74718962853149e-07,171.237335205078,20403.0,0.0083927530795335,301.317138671875,4.10306215286255,0.691720008850098,1.2462899684906,202.061325073242,1453002.625,541024.9375,194114.75,1188233.625,119199.046875,11553192.0,-88977880.0,-4.54747990374926e-08,212.622161865234,9648.0,0.0220379512757063,247.15705871582,4.90947294235229,0.799627423286438,1.27470147609711,45.064266204834,877107.6875,420583.71875,216904.640625,1158805.375,216259.625,9460188.0,-67522928.0,-1.49987045006128e-07,113.054153442383,8816.0,0.0128237465396523,171.369918823242,3.028653383255,0.920768737792969,1.30566346645355,100.130699157715,365105.78125,269337.25,206112.140625,977306.4375,262930.15625,6566469.0,-41297432.0,-1.28446359326517e-07,280.377136230469,1695.0,0.165414243936539,456.514495849609,5.02613925933838,0.627928853034973,1.23532688617706,32.6785011291504,2616034.25,699326.25,245976.734375,1368276.5,206943.8125,17481450.0,-144898272.0,-1.7551676023686e-07,118.176811218262,41.0,2.88236117362976,162.179885864258,3.08330893516541,0.913954198360443,1.24675571918488,312.692169189453,349609.03125,227160.078125,179714.640625,1068593.875,182616.53125,6210343.5,-38743236.0,1.65943120578049e-07,292.406616210938,1694.0,0.172613114118576,466.292205810547,5.0424633026123,0.625719249248505,1.24054539203644,31.0950126647949,2608634.5,779096.875,261922.6875,1399484.75,191767.3125,17847666.0,-147184048.0,2.71253185246678e-07,256.036682128906,13266.0,0.0193002168089151,288.94970703125,5.87903213500977,0.765986144542694,1.25225973129272,35.937126159668,1145728.75,506521.90625,263269.1875,1311844.25,232785.625,11070609.0,-81127656.0,-1.62751902621494e-07,173.662445068359,28715.0,0.0060477955266833,334.458129882812,4.13490676879883,0.668310463428497,1.22524988651276,100.49242401123,1702465.25,693760.3125,200660.328125,1274697.0,102622.734375,12824721.0,-100347664.0,4
0,2.97281502525948e-07,205.501251220703,20.0,10.2750625610352,311.827331542969,4.42150974273682,0.719021916389465,1.25664019584656,293.64453125,1444925.75,559553.375,601860.0625,1080469.375,232727.609375,11986790.0,-88450056.0,7.4993522503064e-08,250.360107421875,31.0,8.07613277435303,188.61262512207,8.45769023895264,0.829713881015778,1.28053736686707,28.1122493743896,646567.5,256021.3125,243638.34375,923506.1875,172262.328125,7234322.0,-50223612.0,-4.14857801445123e-08,303.774536132812,18846.0,0.0161187797784805,219.757263183594,14.086220741272,0.750544369220734,1.2661155462265,143.49430847168,940507.6875,272000.0625,248829.640625,898856.3125,191494.109375,8416364.0,-65692704.0,-7.04061591250138e-08,193.352294921875,41.0,4.71590948104858,203.951812744141,3.92546892166138,0.851024031639099,1.24746823310852,58.9661140441895,514098.84375,289438.6875,462889.5,941042.625,341401.0,7809613.0,-51474000.0,2.23783871433625e-07,152.162170410156,13125.0,0.0115933082997799,203.365707397461,3.66581654548645,0.809712588787079,1.26037240028381,74.6408462524414,696753.25,344364.5,282866.09375,966144.25,201975.84375,7796474.5,-52520600.0,2.32160815016869e-07,394.271911621094,100.0,3.94271922111511,508.155975341797,12.7792882919312,0.595127701759338,1.17269229888916,21.093921661377,2888762.5,708639.25,342713.3125,1515158.875,192998.671875,19487834.0,-171230896.0,-1.11692486370885e-08,202.090744018555,4580.0,0.0441246181726456,243.88069152832,4.46828269958496,0.839934706687927,1.2788747549057,46.3788070678711,947074.4375,386318.59375,253004.4375,1209191.25,198116.046875,9357044.0,-65272996.0,9.09495980749853e-08,217.357696533203,8240.0,0.0263783615082502,315.011413574219,4.278235912323,0.747398912906647,1.20418167114258,251.623184204102,1220294.0,499030.59375,628261.75,1305420.25,236276.234375,12075918.0,-88270000.0,1
0,1.12141250951936e-07,215.983428955078,18871.0,0.0114452559500933,246.684387207031,6.19965600967407,0.75934374332428,1.32209599018097,27.0312461853027,1228456.75,468082.46875,147835.828125,1015574.875,129951.0546875,9469376.0,-70556656.0,1.91472828703354e-08,191.79833984375,174.0,1.10228931903839,119.808479309082,5.54575824737549,0.963081836700439,1.32766771316528,23.2493209838867,340110.5,144271.078125,78805.921875,761340.875,133915.4375,4583989.5,-28441606.0,4.46769945483538e-08,202.641952514648,84.0,2.41240429878235,176.747253417969,8.61960697174072,0.796439588069916,1.26971483230591,24.6554107666016,573433.4375,172090.5625,94589.8984375,847538.5,165644.71875,6762449.0,-50344584.0,2.87209243055031e-08,157.057556152344,29865.0,0.0052589168772101,160.997680664062,3.77320551872253,0.942589998245239,1.23039531707764,34.8429794311523,282086.34375,238300.046875,142832.859375,1114099.75,198432.625,6164747.5,-38669996.0,1.02118846712074e-07,168.946533203125,12560.0,0.0134511571377516,187.70719909668,4.19841003417969,0.844983041286469,1.27920746803284,487.419097900391,658423.9375,277945.65625,153659.671875,997200.1875,140375.90625,7192137.0,-48401660.0,-2.68061967290123e-07,397.587615966797,105.0,3.78654861450195,510.761901855469,10.3489789962769,0.600298047065735,1.14452910423279,9.66831970214844,2915081.0,811650.25,214711.046875,1696149.625,119579.3515625,19559032.0,-172263680.0,-7.98800741108607e-08,209.479370117188,68.0,3.08057904243469,221.933334350586,5.70682334899902,0.823846518993378,1.3043452501297,20.9249401092529,855947.8125,394134.25,217810.578125,970315.6875,236208.46875,8493525.0,-60068032.0,8.77583801184301e-08,206.528533935547,15778.0,0.0130896521732211,239.196228027344,5.46247720718384,0.81342875957489,1.23444187641144,68.3858337402344,960451.8125,373620.34375,146520.171875,1283031.75,147233.0625,9194728.0,-66014140.0,2
