Brain,Muscle,Eye,Heart,Line Noise,Channel Noise,Other,
1,11,0,0,2,0,0,
0,12,0,1,0,0,1,
0,14,0,0,0,0,0,
0,12,0,1,0,0,1,
0,14,0,0,0,0,0,
1,11,0,0,0,0,2,
1,13,0,0,0,0,0,
3,7,0,0,0,0,4,
0,10,0,0,1,0,3,
0,13,0,0,0,0,1,
0,11,0,0,2,0,1,
1,13,0,0,0,0,0,
2,10,0,0,2,0,0,
0,12,0,0,0,0,2,
0,12,1,0,1,0,0,
0,13,0,0,1,0,0,
7,1,2,0,0,0,4,
8,1,2,0,1,0,2,
10,2,0,0,0,0,2,
9,0,1,0,0,0,4,
9,1,0,0,0,0,4,
11,0,0,0,0,0,3,
8,1,0,0,0,0,5,
11,0,0,0,0,0,3,
8,0,0,0,0,0,6,
6,0,2,0,0,0,6,
7,0,0,0,0,0,7,
9,1,0,0,0,0,4,
9,0,1,0,0,0,4,
8,0,1,0,0,0,5,
8,0,1,0,0,0,5,
9,0,2,0,0,0,3,
10,0,0,0,0,0,4,
9,0,1,0,0,0,4,
7,0,0,0,0,0,7,
10,0,1,0,0,0,3,
10,0,2,0,0,0,2,
11,0,0,0,0,0,3,
8,0,0,0,0,0,6,
8,0,1,0,0,0,5,
9,1,2,0,0,0,2,
11,0,2,0,0,0,1,
7,0,2,0,1,0,4,
9,0,3,0,0,0,2,
10,0,1,0,0,0,3,
10,0,1,0,0,0,3,
8,0,1,0,0,0,5,
8,0,1,0,0,0,5,
7,1,1,1,0,0,4,
7,0,2,0,0,0,5,
8,0,0,0,0,0,6,
7,0,2,0,0,0,5,
10,0,2,0,0,0,2,
13,0,0,0,0,0,1,
10,0,1,0,0,0,3,
11,0,0,0,0,0,3,
2,10,0,1,1,0,0,
0,10,0,1,1,0,2,
0,14,0,0,0,0,0,
0,11,0,2,0,0,1,
0,10,0,0,1,0,3,
1,9,0,0,0,0,4,
0,13,0,0,1,0,0,
3,6,0,0,1,0,4,
0,10,0,0,1,0,3,
0,14,0,0,0,0,0,
0,10,0,0,3,0,1,
1,13,0,0,0,0,0,
2,11,0,0,1,0,0,
0,12,0,0,2,0,0,
0,13,0,0,0,0,1,
0,13,0,0,1,0,0,
8,1,2,0,0,0,3,
8,1,3,0,0,0,2,
10,2,1,0,0,0,1,
11,0,2,0,0,0,1,
9,0,0,0,0,0,5,
10,0,0,0,0,0,4,
9,0,0,0,0,0,5,
11,0,0,0,0,0,3,
7,0,0,0,0,0,7,
5,0,2,0,0,0,7,
8,0,0,0,0,0,6,
10,1,0,0,0,0,3,
9,0,1,0,0,0,4,
6,1,1,0,0,0,6,
8,0,1,0,0,0,5,
10,0,1,0,0,0,3,
9,0,2,0,0,0,3,
8,0,2,0,0,0,4,
7,0,1,0,0,0,6,
11,0,1,0,0,0,2,
11,0,2,0,0,0,1,
13,0,1,0,0,0,0,
10,0,2,0,0,0,2,
9,0,1,0,0,0,4,
10,0,2,0,0,0,2,
11,0,2,0,0,0,1,
8,0,2,0,1,0,3,
8,0,3,0,0,0,3,
10,0,1,1,0,0,2,
8,0,1,0,0,0,5,
8,0,1,0,0,0,5,
8,0,2,0,0,0,4,
8,1,1,1,0,0,3,
9,0,2,0,0,0,3,
9,0,1,0,0,0,4,
9,0,2,0,0,0,3,
12,0,2,0,0,0,0,
14,0,0,0,0,0,0,
10,0,2,0,0,0,2,
13,0,0,0,0,0,1,
6.651785714,3.419642857,0.794642857,0.080357143,0.223214286,0,2.830357143,14
