Channel,Mean,Peak_to_Peak,Peak_to_Peak_Time,Peak_to_Peak_Slope,Signal_Power,Kurtosis,Mobility,Complexity,LAR,Delta_Power,Theta_Power,Alpha_Power,Beta_Power,Gamma_Power,WT_Energy,WT_Entropy
AF3,-1.2510555791323e-07,147.254653930664,20670,0.00712407613173127,123.936332702637,5.08513021469116,0.58616977930069,1.38632357120514,493.612060546875,712178.875,213527.375,100646.5390625,169826.71875,131677.578125,4748285,-33860656
AF4,7.97803423324694e-09,132.345413208008,5523,0.0239625945687294,89.3495254516602,5.3281512260437,0.659132480621338,1.40218579769135,448.325347900391,462783.40625,171183.40625,79283.59375,151728.71875,122681.09375,3422098.75,-22435120
F7,-1.61156293643216e-07,82.6213531494141,31075,0.00265877251513302,38.0916404724121,5.31593418121338,0.821837246417999,1.45055973529816,739.144775390625,172733.828125,61593.24609375,34153.4921875,88386.21875,85054.875,1503270.25,-8435705
F3,7.41957251193526e-08,82.4575271606445,25428,0.00324278464540839,27.5813331604004,5.96802377700806,0.727784812450409,1.43718278408051,793.551513671875,119445.25,52227.69140625,25710.578125,51622.3828125,47037.4375,1074650.625,-5897605.5
F4,-1.97855257511037e-07,162.828979492188,12,13.5690813064575,139.911437988281,4.51672077178955,0.656327426433563,1.40502226352692,364.074890136719,733089.125,259890.28125,119851.3359375,234497.421875,185944.1875,5364260,-37385432
F8,-6.42231796632586e-08,126.441589355469,28056,0.00450675748288631,122.090141296387,3.88392519950867,0.654497563838959,1.39474391937256,460.24267578125,657961.0625,213827.65625,107205.515625,211953.03125,163180.828125,4686272,-31795228
FC5,1.5756619120566e-08,99.7556991577148,5,19.9511394500732,30.3813419342041,6.81502437591553,0.790228307247162,1.44465506076813,564.813720703125,126373.84375,40092.96484375,23429.181640625,64106.58984375,64989.578125,1165136.125,-6461895
FC6,6.86111008008083e-08,58.7002792358398,10,5.87002801895142,22.0381736755371,4.9335412979126,0.776289463043213,1.41945433616638,1089.95275878906,94827.8671875,35319.14453125,21092.814453125,49376.8671875,46404.5859375,844266.3125,-4224738
T7,-8.17748571080301e-08,89.6940155029297,42,2.13557171821594,26.7379169464111,4.97358655929565,0.833226919174194,1.42126393318176,788.830932617188,106152.4765625,53114.81640625,33017.375,67725.2734375,63099.1171875,1030644.75,-5003601.5
T8,-5.76662309015319e-08,88.8221435546875,42,2.11481285095215,23.6522636413574,6.16535091400146,0.801092684268951,1.40532827377319,775.694274902344,96185.9140625,48965.734375,36436.265625,56696.6796875,52260.56640625,906091.375,-4392737.5
P7,-6.40985220456969e-08,104.302612304688,5084,0.0205158554017544,32.1862106323242,6.2161660194397,0.908421158790588,1.42078673839569,1015.17456054688,105759,55184.9921875,36242.26953125,102098.0625,88648.109375,1245619.25,-6271851
P8,3.19121369329878e-08,84.9435119628906,32972,0.00257623172365129,40.5112190246582,5.02181911468506,0.830722451210022,1.42775702476501,773.137451171875,157822.15625,83591.2265625,33637.984375,96769.765625,99718.875,1551943.5,-8422106
O1,2.98378495244833e-07,183.541961669922,25503,0.00719687715172768,254.298599243164,11.6040096282959,0.44756355881691,1.35406696796417,538.997802734375,1940880.75,409957.125,100596.375,192731.75,163191.03125,9800826,-84413320
O2,1.77112369215138e-07,82.6226654052734,5130,0.0161057822406292,40.6833381652832,4.18781328201294,0.979671478271484,1.4114738702774,806.571350097656,100656.125,58416.3515625,45943.8046875,150888.953125,137780.0625,1562515.125,-7715843
