Channel,Mean,Peak_to_Peak,Peak_to_Peak_Time,Peak_to_Peak_Slope,Signal_Power,Kurtosis,Mobility,Complexity,LAR,Delta_Power,Theta_Power,Alpha_Power,Beta_Power,Gamma_Power,WT_Energy,WT_Entropy
AF3,-1.77932145878296e-13,532.1728,11031,0.0482433868189647,2810.89417371901,6.94981848937053,0.223035741774322,1.37040384643441,70.4219660544141,1247190.42199143,393081.421958649,261171.210190488,501089.822106643,527813.574701026,108638223.83186,-1333499906.07811
AF4,3.8293371866155e-14,415.9505,1722,0.24155081300813,1185.99796136078,5.68455389548457,0.335947300573139,1.37318213108813,5.80249332187946,905124.980345702,373141.339848889,225719.900161081,511788.050759094,465676.059873103,45453318.19888,-496547152.255078
F7,-4.18702334471956e-14,576.6598,261,2.2094245210728,2362.56225694178,8.7846193567272,0.236396896802923,1.37198625019321,11.0623118159371,846513.819328139,264580.107768604,276051.998484263,455060.860568154,492720.49121475,90389105.3470373,-1106744335.76436
F3,1.12616156886909e-13,779.0746,833,0.93526362545018,4640.35909247846,9.11486294542088,0.184011451662258,1.33078194513371,6.44003315252258,1221025.68106614,454724.638394341,277246.835863496,766331.668718996,443749.436320202,178338639.07417,-2335920787.93803
F4,3.1829312792051e-13,623.1989,9556,0.0652154562578485,6262.64606639926,5.34844971242984,0.163973515144663,1.31684523864504,3.0206525361586,2300916.58648692,797366.017720605,393696.681130018,970709.538290873,295386.723108043,240889800.629101,-3143263127.00227
F8,1.38390216014471e-12,768.4514,35692,0.0215300739661549,10798.7088158548,5.37817188587947,0.130538660042053,1.31262556079349,2.3181228898081,1761559.50786467,543664.84018364,310241.667800459,1210193.9147798,197043.448405532,421802216.243904,-5832365180.01122
FC5,2.39666815214382e-13,1122.6906,14482,0.0775231735948073,13436.0408282276,10.6622133405727,0.116315858662255,1.30279513792948,3.47714253892085,1647980.28341649,545380.420533218,304686.968750369,1190238.37514949,235664.996595408,515773373.594335,-7385631007.34137
FC6,-2.72340784476173e-13,623.8977,33518,0.018613810489886,7558.56527001148,4.86723488979945,0.151742159057536,1.28524852294735,144.78159181623,1018354.6230919,400527.092544278,198236.357399569,1342305.69723421,149544.521877003,293943763.804095,-3925197117.13837
T7,1.54122760076988e-12,1587.0498,236,6.72478728813559,33058.2176165261,6.06039999420506,0.0766606775417189,1.28723132093298,3.56009832088035,3730463.1171753,698917.850739053,484194.340633348,1258539.84024029,189895.141944144,1274457022.83101,-19143420326.0702
T8,1.81403796906807e-12,1220.5616,18918,0.0645185326144413,23492.5806522716,6.58405855052834,0.0930461257299453,1.26599815215009,60.4128944125664,2347123.37188013,710238.238536583,379076.821885752,1593868.32905745,106828.507092127,906341254.607147,-13168513918.7974
P7,-4.55974064320261e-13,1312.8721,28993,0.0452823819542648,30885.8689861672,5.63398859787598,0.0788520959927083,1.27200613022737,89.1065287803308,3106718.01218053,668686.757630976,375186.75869195,1409455.06359509,143198.197787461,1189181683.45923,-17532086319.144
P8,-4.62896710633214e-13,812.4392,238,3.41361008403361,6879.05187496785,14.6432687370577,0.157589731571774,1.26947120572104,14.6346958587873,1168522.27810994,465747.366317758,419583.597392052,1271301.38235301,171343.562166104,264396578.602568,-3635044078.71355
O1,1.13116204216373e-14,619.4061,19825,0.0312436872635561,6000.199360716,4.07222460702735,0.157057059338993,1.37480216862943,45.809988935497,1284578.21563979,442063.666673979,358714.685011515,480610.805677291,552514.687660947,229558004.249757,-2972484105.57131
O2,5.89413143061898e-14,868.6034,654,1.32813975535168,5256.13431953567,10.8913977903144,0.169121795242006,1.37288339524862,9.25431905995682,973944.468330192,442244.309234879,369478.51294513,500425.417215926,544541.361411498,201064561.844268,-2703513144.96551
