,AF3 Mean,AF3 Peak_to_Peak_Time,AF3 Peak_to_Peak_Slope,AF3 Mobility,AF3 LAR,AF3 Beta_Power,AF3 Gamma_Power,AF4 Mean,AF4 Peak_to_Peak_Time,AF4 Peak_to_Peak_Slope,AF4 Mobility,AF4 LAR,AF4 Beta_Power,AF4 Gamma_Power,F7 Mean,F7 Peak_to_Peak_Time,F7 Peak_to_Peak_Slope,F7 Mobility,F7 LAR,F7 Beta_Power,F7 Gamma_Power,F3 Mean,F3 Peak_to_Peak_Time,F3 Peak_to_Peak_Slope,F3 Mobility,F3 LAR,F3 Beta_Power,F3 Gamma_Power,F4 Mean,F4 Peak_to_Peak_Time,F4 Peak_to_Peak_Slope,F4 Mobility,F4 LAR,F4 Beta_Power,F4 Gamma_Power,F8 Mean,F8 Peak_to_Peak_Time,F8 Peak_to_Peak_Slope,F8 Mobility,F8 LAR,F8 Beta_Power,F8 Gamma_Power,FC5 Mean,FC5 Peak_to_Peak_Time,FC5 Peak_to_Peak_Slope,FC5 Mobility,FC5 LAR,FC5 Beta_Power,FC5 Gamma_Power,FC6 Mean,FC6 Peak_to_Peak_Time,FC6 Peak_to_Peak_Slope,FC6 Mobility,FC6 LAR,FC6 Beta_Power,FC6 Gamma_Power,T7 Mean,T7 Peak_to_Peak_Time,T7 Peak_to_Peak_Slope,T7 Mobility,T7 LAR,T7 Beta_Power,T7 Gamma_Power,T8 Mean,T8 Peak_to_Peak_Time,T8 Peak_to_Peak_Slope,T8 Mobility,T8 LAR,T8 Beta_Power,T8 Gamma_Power,P7 Mean,P7 Peak_to_Peak_Time,P7 Peak_to_Peak_Slope,P7 Mobility,P7 LAR,P7 Beta_Power,P7 Gamma_Power,P8 Mean,P8 Peak_to_Peak_Time,P8 Peak_to_Peak_Slope,P8 Mobility,P8 LAR,P8 Beta_Power,P8 Gamma_Power,O1 Mean,O1 Peak_to_Peak_Time,O1 Peak_to_Peak_Slope,O1 Mobility,O1 LAR,O1 Beta_Power,O1 Gamma_Power,O2 Mean,O2 Peak_to_Peak_Time,O2 Peak_to_Peak_Slope,O2 Mobility,O2 LAR,O2 Beta_Power,O2 Gamma_Power,label
0,3.82945657406708e-08,-5.42506342071647e-08,1.3921670927175e-07,6.22286719931253e-08,4.46769945483538e-08,-3.47842302517165e-07,-1.72325542280305e-07,-1.07703471030618e-07,1.81899196149971e-07,-2.71253171035823e-08,2.30565206038591e-07,1.02916644095785e-07,-1.33233172050495e-07,-2.10620115126403e-07,27672.0,0.0034154476597905,12882.0,0.0066672405228018,1035.0,0.0980504229664803,4332.0,0.0230429470539093,5427.0,0.0250373370945454,5207.0,0.0227769389748573,5207.0,0.0226909201592207,1654.0,0.0901050865650177,13503.0,0.0086603965610265,14186.0,0.0116467727348208,5718.0,0.0290434099733829,9.0,11.0157051086426,1717.0,0.0642788484692574,2611.0,0.0410235337913036,0.86873197555542,0.933679461479187,0.882881343364716,0.961727440357208,0.847898244857788,0.876292884349823,0.925187289714813,0.884104430675507,0.886221766471863,0.812068104743958,0.737850844860077,0.8916996717453,0.835437297821045,0.925666689872742,32.7499923706055,564.639099121094,368.821716308594,101.852363586426,274.111999511719,99.7882308959961,97.5518341064453,190.199508666992,100.753051757812,358.546112060547,355.926361083984,137.432678222656,255.051986694336,423.665374755859,539047.625,105954.1875,486680.90625,126167.0625,646221.8125,107782.53125,913142.125,133975.78125,827965.25,184939.546875,1138214.5,140551.8125,1174065.5,137976.859375,1393274.125,76700.390625,1053728.125,149387.65625,1464433.875,70085.0078125,1457962.25,67901.859375,576028.25,126053.8515625,973906.1875,94770.921875,791775.75,202938.109375,1
0,1.89877226830504e-07,-7.14034129600805e-08,8.775837834207321e-09,8.21737557998858e-08,-2.48914687972501e-07,1.49189247622417e-07,-2.13811333082958e-07,-1.3881779636904e-07,-2.93192783828999e-07,-2.24581668817336e-07,-1.21266126029695e-07,-3.98901747189484e-08,1.99450866489315e-07,3.75964894772096e-08,24144.0,0.002900704042986,265.0,0.260766714811325,24617.0,0.0031796304974705,11322.0,0.0063264137133956,18842.0,0.00485883327201,23033.0,0.0041056582704186,22492.0,0.003721461398527,13522.0,0.0066389050334692,19600.0,0.0046742646954953,18867.0,0.0064675598405301,31715.0,0.0041852802969515,23883.0,0.003055770182982,5152.0,0.0221018940210342,21425.0,0.0033623231574893,1.01650047302246,0.949568033218384,0.959258556365967,1.03370404243469,0.927778542041779,0.978483021259308,1.00094854831696,1.01135504245758,0.946017503738403,0.92210328578949,0.844815671443939,1.03767025470734,0.869909763336182,1.01024758815765,645.803283691406,70.1807327270508,873.677551269531,1000.13708496094,418.838928222656,535.758483886719,149.550140380859,427.175048828125,595.353637695312,444.227264404297,435.774688720703,23.7989063262939,187.182800292969,111.950271606445,310942.25,229941.9375,248111.765625,132754.09375,330501.25,169407.3125,674969.125,128963.734375,691697.0625,131510.5625,1207521.625,133813.46875,1168951.5,135693.265625,1209055.375,111624.40625,1198171.0,143175.1875,1381726.75,132049.5,1284171.0,121533.046875,654566.0625,244047.125,623684.3125,218797.890625,456465.625,141867.40625,2
0,-6.382427919504611e-09,1.94664039554482e-07,2.23384972741769e-08,-4.14857801445123e-08,-1.9984976518117e-07,-3.90923702298096e-08,-2.23384972741769e-07,-1.30041968304795e-07,-1.93467343478915e-07,2.58488313420457e-07,-2.80228476867705e-07,-1.86686008873949e-07,8.29715602890246e-08,-1.49987045006128e-07,5402.0,0.0134795429185033,4504.0,0.0167192537337542,911.0,0.0822843834757805,337.0,0.182001814246178,7883.0,0.0137858092784882,5172.0,0.0185018386691809,31920.0,0.0026388340629637,1102.0,0.0708350613713264,15222.0,0.0061724111437797,29129.0,0.0041659278795123,5415.0,0.0189140494912863,8881.0,0.0086381426081061,9839.0,0.0077286548912525,9972.0,0.0065688863396644,0.963299512863159,0.983502209186554,0.919791102409363,1.03979790210724,0.892865002155304,0.954506695270538,1.00762152671814,1.05471968650818,0.967023313045502,0.94972163438797,0.946502923965454,1.06049859523773,0.91523289680481,0.997951567173004,511.240692138672,665.540771484375,1070.80834960938,532.742980957031,318.747619628906,665.890075683594,882.742614746094,49.0885467529297,343.748321533203,31.214448928833,35.2220306396484,553.095336914062,367.383758544922,35.1049194335938,262031.53125,142398.96875,182441.046875,166932.703125,258752.875,120126.5,552128.0625,94248.5546875,739475.5625,110197.1875,1096367.0,121561.3515625,1004782.125,115004.4375,869449.6875,171346.21875,1087346.25,111178.625,1169296.875,131606.25,1037211.0,110478.734375,772926.125,176205.984375,242726.9375,175034.6875,181601.03125,141416.734375,3
0,2.63275143908004e-08,-4.46769945483538e-08,1.36424390007051e-07,1.11692486370885e-08,1.65943120578049e-07,3.03165315074239e-08,-9.25451999478355e-08,-2.07827795861704e-07,-2.14783653973427e-07,-1.72126092934377e-07,-4.10868778999429e-08,1.20318730978397e-07,3.3108843666696e-08,1.03315549893068e-07,23206.0,0.0033038828987628,14104.0,0.0044258823618292,17652.0,0.0037113355938345,25098.0,0.0025931494310498,74.0,1.45230686664581,10206.0,0.0083478400483727,180.0,0.522100925445557,26162.0,0.0028598483186215,12034.0,0.0090655228123068,7258.0,0.0202721059322357,18845.0,0.0065264818258583,3960.0,0.0197298806160688,11247.0,0.0063562565483152,5095.0,0.015295872464776,1.02667462825775,1.03762698173523,1.04638540744781,1.05288469791412,0.932660222053528,0.99390172958374,1.01171815395355,1.01452350616455,0.954446732997894,0.904888093471527,0.949567794799805,0.984204173088074,1.02177572250366,1.04037010669708,861.021118164062,363.22265625,474.740966796875,91.8445663452148,74.9601135253906,27.7319297790527,98.082405090332,2.8578097820282,305.957153320312,197.246856689453,715.247924804688,358.929229736328,467.060089111328,355.786743164062,225073.8125,314822.15625,229669.9375,250776.21875,198219.15625,254578.0625,459143.375,321236.75,638425.375,239369.671875,1002823.125,150440.5,890487.625,183431.734375,1090119.375,89572.0546875,1093652.25,147740.1875,1430071.875,87260.8671875,1163592.5,119171.4140625,946111.0625,108072.421875,224853.71875,340594.625,254587.75,341115.0625,4
0,1.0909962355754e-07,-5.36024202801855e-08,-3.1912139597523e-09,-3.07154323309078e-07,5.62451454300117e-08,1.56369480919238e-07,-6.70154918225307e-08,2.3934103587919303e-09,-1.43205724612017e-07,2.87209243055031e-08,-1.27648558390092e-08,-1.28446359326517e-07,3.43055504004042e-08,1.79505775577127e-07,9780.0,0.0156378522515297,146.0,0.945715069770813,9911.0,0.0132516697049141,25287.0,0.0072486861608922,15602.0,0.0096559422090649,5184.0,0.0313765369355679,11963.0,0.0146681871265173,2017.0,0.0729523226618767,11650.0,0.0158931035548449,12149.0,0.0125378929078579,1268.0,0.107385993003845,11595.0,0.0134153654798865,10957.0,0.0155255068093538,6732.0,0.0261819940060377,0.790193796157837,0.88305389881134,0.895466208457947,0.815172255039215,0.875662922859192,0.748360216617584,0.834813058376312,0.75142627954483,0.82181715965271,0.76748663187027,0.850467324256897,0.737472712993622,0.866295993328094,0.766148328781128,602.677856445312,92.1578979492188,168.870635986328,8.15415096282959,319.530822753906,8.358078956604,9.84544086456299,491.674194335938,7.92292261123657,494.424774169922,484.213104248047,466.973449707031,271.333679199219,458.035308837891,1187388.25,123053.78125,982048.5625,234282.34375,918996.375,268781.21875,1387115.0,171139.125,1069215.5,165516.40625,1267659.75,189620.96875,1137534.0,217160.0,1250261.25,114950.28125,1243935.625,182115.8125,1237797.5,119406.8046875,1322785.5,104561.0546875,1264629.125,119820.53125,1181667.25,154672.03125,1242059.125,124492.453125,1
0,8.5364973756441e-08,-2.30565206038591e-07,9.65342223935295e-08,2.7923121592721104e-09,7.4993522503064e-08,-3.87433303217222e-08,8.45671692673022e-08,4.18846823890817e-08,1.438040726498e-07,-1.57965089897516e-07,-2.80427912002779e-07,6.14308675039865e-08,9.11490474209131e-08,-1.25255141369962e-07,7558.0,0.0194932650774717,11829.0,0.0129586514085531,11613.0,0.0139839118346572,2165.0,0.0607257783412933,710.0,0.236405342817307,23449.0,0.0063492050394415,30689.0,0.0047272401861846,6936.0,0.0210408885031939,19785.0,0.0074701416306197,6936.0,0.0197150502353907,5106.0,0.029686700552702,21406.0,0.0061719357036054,4882.0,0.0293495394289494,2960.0,0.0455541647970676,0.825125098228455,0.967370212078094,0.987232387065887,0.803311824798584,0.957594990730286,0.766960024833679,0.876112878322601,0.787317335605621,0.873745918273926,0.792890071868896,0.832628726959229,0.759027481079102,0.921193778514862,0.824327111244202,406.047668457031,611.227294921875,392.440063476562,19.6035900115967,378.720367431641,107.540100097656,0.781770050525665,145.595703125,497.294860839844,143.997100830078,175.525131225586,571.386657714844,360.897735595703,351.553833007812,1557984.25,57960.71875,1072483.75,204307.46875,1039746.5,243928.46875,1393590.625,182334.28125,1025672.0625,190798.265625,1392613.75,201188.21875,1241166.625,213961.9375,1546933.5,63294.2734375,1316331.0,188230.65625,1556747.5,63395.96484375,1548639.0,69265.3359375,1555712.5,60871.1875,1117770.125,157774.0,1613271.75,55919.265625,2
0,2.83220238372905e-08,9.11490474209131e-08,-8.89550832994246e-08,1.28446359326517e-07,-4.67512819568583e-07,8.93539890967077e-08,-3.51033513368293e-08,-4.86660098886205e-08,9.17473954586967e-08,1.44402420687584e-07,1.61156293643216e-07,1.02916644095785e-07,1.05310057563202e-07,2.12215724104681e-07,13259.0,0.0076353633776307,2637.0,0.0542052835226059,16246.0,0.0098463986068964,2043.0,0.0605603829026222,3952.0,0.0350936725735664,5048.0,0.0281564351171255,14965.0,0.0085957581177353,11800.0,0.0091486200690269,890.0,0.154338195919991,23469.0,0.0044153532944619,12045.0,0.0096128303557634,11800.0,0.0094399023801088,14525.0,0.0099079636856913,12043.0,0.0089230071753263,0.939799845218658,0.945674240589142,0.912979304790497,0.858559429645538,0.929536998271942,0.830351710319519,0.872760713100433,0.90558785200119,0.833543121814728,0.899609804153442,0.914882898330688,0.899134159088135,0.909398317337036,0.923894822597504,582.240356445312,196.777297973633,422.765563964844,343.995513916016,487.708160400391,262.024291992188,278.062622070312,457.088989257812,341.867614746094,727.522277832031,439.225067138672,444.530883789062,511.462219238281,472.516052246094,1508914.25,43174.3359375,1109638.75,200575.1875,1082891.75,195416.59375,1437375.75,181158.484375,1061965.375,208714.4375,1339749.5,204114.640625,1303338.0,216436.484375,1498220.75,49553.67578125,1318538.125,201892.078125,1477415.5,57979.453125,1541567.625,61844.45703125,1491571.25,52173.140625,1181861.75,158500.84375,1542715.0,49324.64453125,3
0,-2.07927527640095e-07,8.01792481297525e-08,9.41408089261131e-08,1.05310057563202e-07,-9.5736414351677e-09,2.23384972741769e-08,-1.69134338534604e-07,2.71253185246678e-07,-3.34080207942122e-09,3.25503805242988e-07,3.7496761251532e-08,1.21266126029695e-07,-1.8150028324726e-07,-1.22861735007973e-07,697.0,0.156366989016533,8070.0,0.0167733822017908,330.0,0.311835885047913,14135.0,0.0110810026526451,1126.0,0.0911261215806007,35965.0,0.0037101628258824,14470.0,0.010498920455575,9563.0,0.0122746368870139,236.0,0.764407932758331,27752.0,0.0041786809451878,12735.0,0.0086870063096284,26466.0,0.0044726873748004,10542.0,0.0088195074349641,5184.0,0.0211960673332214,0.859981000423431,0.883057296276093,0.972820162773132,0.785864233970642,0.957226991653442,0.757924795150757,0.848488032817841,0.836202561855316,0.799205660820007,0.829758942127228,0.87040251493454,0.828493595123291,0.966081202030182,0.86832457780838,603.876220703125,466.491546630859,307.515808105469,199.610595703125,441.008758544922,560.608215332031,18.4543743133545,162.476440429688,165.196319580078,167.361358642578,503.012512207031,199.329116821289,448.152130126953,635.785278320312,1043884.875,110171.015625,1105523.875,210500.28125,958439.0625,258046.8125,1243212.875,195054.375,1014498.75,181048.28125,1306637.25,191215.578125,1235955.75,230085.96875,1092131.75,96861.5625,1152599.375,236017.90625,1075968.5,90609.375,1221668.25,136795.921875,1109667.625,90904.265625,930899.375,206590.4375,1121299.875,106610.21875,4
0,-2.95187287946419e-08,3.98901747189484e-08,-3.35077459112654e-08,-1.14085892732874e-07,1.5716727830295e-07,-1.46795841260428e-07,-5.03613417635052e-09,3.16727977178743e-07,2.10620115126403e-07,1.11692486370885e-07,-2.99974090012256e-07,1.2685075034824e-07,-2.904004645643e-07,-1.03714450361281e-08,11734.0,0.0104004228487611,28196.0,0.0042845867574214,3833.0,0.02823281660676,23310.0,0.0048241508193314,5638.0,0.0198545213788748,4119.0,0.0384574234485626,30732.0,0.0038907672278583,34191.0,0.0034967986866831,7564.0,0.0155150862410665,35483.0,0.0035488731227815,1520.0,0.085603654384613,15693.0,0.009148733690381,34086.0,0.0033708838745951,7792.0,0.0139141771942377,0.776557922363281,0.916267573833466,0.927503287792206,0.898808181285858,0.860312938690186,0.718735933303833,0.922243535518646,0.811812162399292,0.87726628780365,0.802205979824066,0.886956989765167,0.745175004005432,0.848722457885742,0.891576647758484,375.915435791016,500.044952392578,585.9130859375,90.4663467407227,502.224182128906,270.702575683594,529.969848632812,603.674011230469,477.554077148438,647.461059570312,72.0830078125,274.900207519531,23.1312599182129,31.0472068786621,1088828.0,233097.46875,915038.875,171004.859375,864523.6875,184629.75,911670.25,336504.8125,945018.6875,198107.28125,1474188.875,190635.859375,1207039.125,197283.3125,1310544.75,236888.6875,1235113.125,206967.09375,1289411.875,238071.40625,1196963.375,200300.5625,1280516.5,224735.859375,1206483.25,224551.390625,1082972.25,195646.84375,1
0,2.67264166353698e-08,9.33430044369743e-08,1.11293580573602e-07,1.02517745403929e-07,-1.35626592623339e-07,7.10045071627974e-08,-2.15107760936917e-07,-3.98901744969038e-10,2.44127846826814e-07,-2.39341044760977e-08,-7.10045071627974e-08,7.06056084709417e-08,-9.75314762285961e-08,-6.30264764822641e-08,410.0,0.302574157714844,8178.0,0.0112101994454861,16764.0,0.0052584302611649,5486.0,0.0172459632158279,323.0,0.339868873357773,9140.0,0.0173968262970448,21587.0,0.0050926706753671,9433.0,0.011707347817719,15125.0,0.0069539495743811,22064.0,0.0050734849646687,1612.0,0.065113939344883,9186.0,0.0145766315981746,16464.0,0.0068902522325515,32.0,3.16871166229248,0.871102929115295,1.03575718402863,0.973524510860443,0.986443281173706,0.914190411567688,0.735435545444489,0.924557626247406,0.913148939609528,0.836578130722046,0.906610429286957,0.934585511684418,0.741932272911072,0.950295448303223,0.958168208599091,43.4448547363281,50.2952308654785,406.541595458984,700.918518066406,39.3813323974609,110.036422729492,3.32376217842102,248.424346923828,341.209716796875,4.12705421447754,4.18478155136108,480.669982910156,317.026031494141,4.62700653076172,1005812.3125,127544.921875,753902.4375,132832.609375,828282.5,163256.1875,1106170.125,197032.40625,979177.25,138532.234375,1678784.25,116913.421875,950057.25,234474.34375,1266005.5,144830.90625,974671.0625,301542.90625,1201270.25,144650.03125,945922.375,252349.59375,1541750.5,149205.21875,1121850.625,161721.421875,1022764.8125,164353.59375,2
