,AF3 Mean,AF3 Peak_to_Peak_Time,AF3 Peak_to_Peak_Slope,AF3 Mobility,AF3 LAR,AF3 Beta_Power,AF3 Gamma_Power,AF4 Mean,AF4 Peak_to_Peak_Time,AF4 Peak_to_Peak_Slope,AF4 Mobility,AF4 LAR,AF4 Beta_Power,AF4 Gamma_Power,F7 Mean,F7 Peak_to_Peak_Time,F7 Peak_to_Peak_Slope,F7 Mobility,F7 LAR,F7 Beta_Power,F7 Gamma_Power,F3 Mean,F3 Peak_to_Peak_Time,F3 Peak_to_Peak_Slope,F3 Mobility,F3 LAR,F3 Beta_Power,F3 Gamma_Power,F4 Mean,F4 Peak_to_Peak_Time,F4 Peak_to_Peak_Slope,F4 Mobility,F4 LAR,F4 Beta_Power,F4 Gamma_Power,F8 Mean,F8 Peak_to_Peak_Time,F8 Peak_to_Peak_Slope,F8 Mobility,F8 LAR,F8 Beta_Power,F8 Gamma_Power,FC5 Mean,FC5 Peak_to_Peak_Time,FC5 Peak_to_Peak_Slope,FC5 Mobility,FC5 LAR,FC5 Beta_Power,FC5 Gamma_Power,FC6 Mean,FC6 Peak_to_Peak_Time,FC6 Peak_to_Peak_Slope,FC6 Mobility,FC6 LAR,FC6 Beta_Power,FC6 Gamma_Power,T7 Mean,T7 Peak_to_Peak_Time,T7 Peak_to_Peak_Slope,T7 Mobility,T7 LAR,T7 Beta_Power,T7 Gamma_Power,T8 Mean,T8 Peak_to_Peak_Time,T8 Peak_to_Peak_Slope,T8 Mobility,T8 LAR,T8 Beta_Power,T8 Gamma_Power,P7 Mean,P7 Peak_to_Peak_Time,P7 Peak_to_Peak_Slope,P7 Mobility,P7 LAR,P7 Beta_Power,P7 Gamma_Power,P8 Mean,P8 Peak_to_Peak_Time,P8 Peak_to_Peak_Slope,P8 Mobility,P8 LAR,P8 Beta_Power,P8 Gamma_Power,O1 Mean,O1 Peak_to_Peak_Time,O1 Peak_to_Peak_Slope,O1 Mobility,O1 LAR,O1 Beta_Power,O1 Gamma_Power,O2 Mean,O2 Peak_to_Peak_Time,O2 Peak_to_Peak_Slope,O2 Mobility,O2 LAR,O2 Beta_Power,O2 Gamma_Power,label
0,-2.87712224523653e-13,3.5902358038197305e-15,-9.92330179592598e-15,1.490780032447e-14,6.257947440830141e-14,-3.64729915434401e-13,8.364536131018411e-14,-3.7169008387237297e-13,-1.35008320881055e-13,1.74996596854824e-13,1.60214644251644e-13,3.8051149831377404e-14,3.08929314444177e-13,-1.86959746254208e-13,20860.0,0.0115544343240652,4354.0,0.0779123794212219,4155.0,0.190101612515042,2849.0,0.192195156195156,1503.0,1.78088256819694,29704.0,0.0089170482089954,449.0,1.28233652561247,3326.0,0.0987558027660854,1433.0,0.461824633635729,1426.0,0.346136044880785,1575.0,0.423117523809524,1429.0,0.28081322603219,19132.0,0.0339610861384069,263.0,1.52773840304183,0.351985398147741,0.29777766407982,0.196053983248906,0.303323233090986,0.0988385895658846,0.354800323845308,0.221948098126411,0.313890392772549,0.18357584609488,0.250940292434154,0.178270776417068,0.28228124157658,0.186139051645572,0.357287940704347,233.377997283462,14.8533833927103,1.35597243313078,15.4375720683753,24.6195691145769,37.8541870959163,84.2379693428618,73.4182143771597,15.2680180489785,25.9711332495975,6.13158492905945,37.271756164367,60.6588441948244,12.858675948132,553432.083343256,109006.745543827,511682.021111525,132783.821859995,671090.401147331,113313.301429076,932764.989572005,140933.53148382,830665.143365819,186321.295344426,1158959.4723616,143440.363888671,1198883.30348344,143152.071094067,1396349.41787748,77574.8735095834,1080219.71711969,159867.998018127,1484181.24545015,70653.2058430332,1491952.53931448,66591.4720155607,585391.417806402,128371.669897258,994241.131920816,98824.3740521272,801460.577321099,205692.400320225,1
0,-4.6007326360206405e-15,-7.34839240475519e-16,-2.01802161489536e-15,4.99096273622058e-14,4.11331651695902e-14,6.89099398570895e-13,-2.27807594671177e-14,1.56046716325003e-13,1.54071046415575e-13,-1.82566314071264e-13,4.16920590792825e-13,-1.71398095038314e-14,1.38016034981606e-13,9.007028220734981e-15,203.0,0.724390147783251,211.0,1.34281184834123,4955.0,0.0798727346115035,8705.0,0.0297500861573808,21625.0,0.0127108393063584,7419.0,0.039710958350182,4268.0,0.0917381443298969,30917.0,0.011710437623314,12393.0,0.0367866698942952,17597.0,0.0250844007501279,262.0,3.66265496183206,1026.0,0.243414814814815,447.0,3.09126398210291,235.0,0.728315744680851,0.523335357337366,0.331861691833692,0.257124655868747,0.343057054912433,0.347736275254563,0.295682364827316,0.236421782949111,0.336585781651737,0.193149475171906,0.233778094934186,0.150114277470664,0.355084479129457,0.129572147117119,0.537252175343763,34.2485834062036,20.8029229658521,11.7373553475658,274.047461116845,225.470878220992,29.159301478346,142.764926974507,210.143602326834,128.652725459095,121.936811281958,13.1705362983553,333.397049119606,4.9948237530806,67.2966693541924,323915.722039205,235542.595504751,264638.93126439,141128.559743553,354627.600823407,179062.450112065,704393.44495255,141281.806609781,701831.605867854,133686.913827744,1227554.05906599,136826.342800586,1211467.40646254,139486.888499585,1233017.23359887,115625.38162686,1208754.14710023,150012.432345632,1452065.16568831,135357.647296431,1351228.38151231,113527.580975853,678920.542909578,247829.078814313,642568.50620911,225922.482197103,463064.81480702,148055.434099965,2
0,-2.53604984387365e-14,7.667887726701071e-15,8.45548084591649e-15,-2.9839377044991804e-15,2.19338368096293e-13,-2.94623725650956e-13,-3.39619069154209e-13,3.71743952269678e-14,1.64935373386488e-13,-1.51949003067953e-13,-3.34071738750376e-13,-2.54318276268919e-14,5.5987468602943705e-14,9.67402114357054e-15,329.0,1.07396200607903,25932.0,0.0088248573191423,39.0,15.0,215.0,2.04174093023256,5288.0,0.419115336611195,31280.0,0.0130746291560102,240.0,2.25854791666667,20915.0,0.013448816638776,225.0,3.721936,1457.0,0.327772340425532,1873.0,0.591263214095035,1460.0,0.267474520547945,215.0,2.42456697674419,25294.0,0.0079526172214754,0.348669035508522,0.396874989007929,0.269447986637022,0.281977064690852,0.124266135188489,0.233781897058993,0.250720249400164,0.365558659998877,0.177420653194911,0.270372071960919,0.193420782222228,0.365812109906764,0.207589660300984,0.429703439461614,20.4204859020035,360.50813442438,65.4290222987544,15.1238742266115,18.2487003523095,6.88376889289249,10.8760689774288,159.723885789278,12.0680430959152,18.7665366669389,3.31498775678349,22.2993508238824,12.943848987837,340.842383345239,274191.06442714,146810.356091725,193868.848337166,174065.309913231,277868.813431929,124059.633269189,582311.801168371,102928.527836904,748000.329515217,110956.968966982,1124683.3985233,126349.157818116,1036075.47012425,119273.11459432,886134.779919391,179423.488007117,1115128.19942968,121807.120787316,1218468.31751828,136427.933950162,1095658.37721928,113111.130937679,798777.801541817,180169.516699995,259032.236007849,177674.364467054,188209.256943162,146949.446573156,3
0,9.87002780852245e-14,-1.9202411861323902e-14,-9.71414381190793e-15,-2.57251689131808e-13,-1.56255502802833e-14,3.60231718506354e-13,-3.00171056054789e-13,-6.83025272392041e-14,3.44132126329788e-13,-4.81786314283981e-13,-4.25122704418315e-13,5.6981619162859e-15,1.44411885519537e-14,7.471360953085531e-15,11079.0,0.0226115082588681,1682.0,0.119973186682521,264.0,1.00815833333333,834.0,0.431962470023981,9559.0,0.0336640548174495,35693.0,0.0107828369708346,14471.0,0.0364123557459747,33518.0,0.0090651620025061,247.0,3.09508987854251,18980.0,0.0310110484720759,18914.0,0.0332476578196045,14444.0,0.026139864303517,19825.0,0.0154298915510719,654.0,0.612404892966361,0.350799340170754,0.503740102103689,0.357740883117603,0.317311553385531,0.29184117777144,0.247558434946917,0.218301601273572,0.282542532241118,0.150043020872664,0.188035001912396,0.15569259846654,0.282256531480085,0.255919885710433,0.279491169883069,144.979125099178,12.5990692379608,23.9408993435551,13.9883903024381,6.34330519362521,4.72805907261509,7.55057233218414,278.32471602362,7.59175843593303,117.891508140119,116.978153459335,176.170477527497,96.3431906552242,20.1054855124781,237736.940795987,320758.376846526,242453.293646692,255886.606710951,218810.480157974,262494.803821587,486817.486632139,329138.030651269,669667.092595395,244668.480348618,1032479.95226722,153941.398316078,940328.283229483,191789.693240336,1116249.46712051,93126.229008479,1102937.84408583,163172.049200956,1521640.70266554,89621.4836174894,1254844.57298739,123525.100737997,974640.089537178,111988.264240849,238525.574451084,351402.478838026,259245.285883985,348267.908185264,4
0,8.11547838237595e-13,-1.59473489405967e-13,3.1087637837710503e-15,-2.26874371126145e-13,2.9716334195423797e-13,-1.04838749135894e-12,2.56869780770226e-13,9.38656451530444e-13,-4.1869936242244996e-13,-1.0666685678732601e-14,-2.6162803203009e-13,3.48878489391626e-13,-4.71887160390296e-13,-2.66200158689611e-13,5726.0,0.0616620677610898,3490.0,0.0724046131805158,2560.0,0.1026642578125,20663.0,0.0271760344577264,262.0,1.05989389312977,2774.0,0.225722350396539,4501.0,0.084425594312375,5726.0,0.0663192106182326,1943.0,0.252715028306742,5726.0,0.0610351903597625,270.0,1.4211762962963,22147.0,0.0177485483361178,30769.0,0.0079833891254184,5718.0,0.0509412906610703,0.179504537265176,0.443161100545389,0.427026065395088,0.181183807844841,0.27228820068043,0.199137611566928,0.297882779808414,0.168835280127105,0.226978387025913,0.193482838004336,0.458702529597244,0.165770571486432,0.365673336758543,0.238171198732469,53.0383841176727,24.1394706231514,35.9677201778179,227.224950702497,21.4689082812586,11.787600812879,5.53266194621502,53.2833541224358,23.9332556148873,47.8144477507393,14.5813367901751,192.656239454732,48.5520685044948,48.9714296853168,1191127.06958814,123988.234638409,990481.969802962,236897.756099926,925016.585002085,271026.238468382,1407329.11940132,172456.730363252,1070669.13621718,165772.327007812,1285597.36391954,191596.042606872,1151913.90104793,218840.212013021,1254224.89761428,115987.177966382,1259928.06244056,183549.300394503,1241877.06399857,120145.588607718,1324182.16930323,105322.302959359,1268260.22469043,120658.30636431,1184408.34634841,155010.385298278,1245664.6347615,124914.034042076,1
0,-9.81006670972935e-14,9.413372401852831e-14,4.9337507832209704e-14,-3.8278214413672e-13,-4.56073627978728e-13,-7.18681693333577e-13,4.96029118531378e-13,1.71916717677194e-13,4.0798809600112e-14,-3.28652206475322e-13,2.9376628936833897e-13,2.28573268925282e-13,-2.82627047818077e-14,6.626110073444521e-14,12886.0,0.0202167080552538,25822.0,0.0073034582913794,26001.0,0.0082048113534094,15767.0,0.0423555907908924,25999.0,0.012515285203277,15749.0,0.0400106609943488,15699.0,0.0252669978979553,15315.0,0.0170688932419197,15742.0,0.0356713568796849,2522.0,0.0998901268834259,9119.0,0.0267263735058669,12887.0,0.0232195778691705,9962.0,0.0209385264003212,31608.0,0.0082987692989116,0.311291011055012,0.510100934301553,0.487247200292715,0.108054898869188,0.236026337327607,0.141738972743746,0.227929929494516,0.275716947097845,0.145356515518086,0.310758138923144,0.393823486518571,0.316974939882164,0.596224200903826,0.352790153634807,50.4643803767572,422.921198748336,342.700596762153,93.2708059915894,23.6581923005536,92.4943258380193,144.65546809029,128.18492391735,105.537817023369,129.049524585758,55.5753072277912,51.0617671599582,38.0064800140325,36.0256351348892,1571129.93907362,57790.0352571299,1078113.32579864,205095.234838886,1045839.44243959,244804.537843968,1411918.74811877,182719.750497853,1027999.1606976,191211.897239279,1405874.59433569,201763.863115957,1253677.55140435,214909.919058987,1558936.43923597,63120.7093033907,1331490.94101843,189303.488125106,1570873.28266215,63068.17119963,1558575.09086936,69095.664502824,1572637.2072281,60475.681096104,1119916.47579682,158013.70049077,1625576.32863842,55346.1428068411,2
0,2.4170192611394e-13,2.06930432912956e-13,2.05576664362757e-14,-7.749619088129091e-14,7.97326952855308e-13,1.45083568708e-13,2.9702662767694e-14,8.93487243131063e-14,8.39737727806494e-14,5.717034430652011e-14,-8.56247462814953e-14,-2.06162158115532e-13,-2.16827357769512e-13,-2.1895088714188702e-14,22101.0,0.0138756843581738,17017.0,0.0165445436916025,4232.0,0.0531360349716446,28347.0,0.0227492045013582,18624.0,0.0164455756013746,1031.0,0.581213482056256,3445.0,0.129470507982583,2001.0,0.171773263368316,3272.0,0.176634749388753,3681.0,0.0888485194240695,21337.0,0.0123656512161972,23985.0,0.0155118282259746,2340.0,0.0815252991452992,8462.0,0.0364525525880407,0.290717647136922,0.460087354893219,0.57416187395172,0.202781475823956,0.256802613137621,0.221802386841107,0.272514920914658,0.278261379311213,0.226682036443792,0.274987108460138,0.392924098308733,0.250302183765996,0.677411444190962,0.386740147855251,25.8259783368048,221.843239682527,16.7092681797397,310.15061491215,7.29538572884428,28.8828134948584,14.596161323075,26.6061754246704,12.5691569392015,26.248009831072,29.9416097256353,23.9779863786045,139.73166933479,23.791420537568,1570144.97019309,43349.0810953782,1121974.24516,202014.503793274,1089528.61647692,198042.234449079,1488110.68498978,182079.426905833,1067333.10979705,210073.588040957,1389873.90438787,205612.376822035,1333897.12330274,216198.49509915,1565170.11165372,49951.4759367689,1369121.52975856,204337.351962516,1546154.81350064,58655.7412783021,1589984.47809918,61560.7970074304,1564765.68414536,52601.316576792,1187909.03528748,158726.234641997,1600568.19601637,49708.6545333543,3
0,2.34682688192027e-13,2.07857712358975e-13,-1.06631192193248e-13,2.2275511051017302e-14,8.405550414207741e-14,-7.48183742759584e-13,6.79981150685035e-13,-1.36512475136281e-12,2.7003001598489e-13,1.27429891844499e-12,-1.3021440502711399e-13,7.74813306337585e-15,2.5557768224728702e-14,2.67612253711374e-13,23709.0,0.0179527099413725,3738.0,0.0992577314071696,13761.0,0.0168443354407383,4988.0,0.136378508420208,10263.0,0.0208740719087986,2570.0,0.258106303501946,3098.0,0.169133150419626,22594.0,0.0197862751172878,3044.0,0.233456406044678,20293.0,0.0221940817030503,16193.0,0.0198566417587847,20298.0,0.0247466499162479,3971.0,0.165946713674137,19920.0,0.0210457178714859,0.127200538458695,0.321420921098656,0.467901882727619,0.152830927699217,0.326929041050274,0.14590493505633,0.229362333158908,0.124024518197185,0.173070243080375,0.121670515568842,0.269809566907634,0.132320894211977,0.408966825969316,0.176845445907513,174.538129027582,20.9302752675327,2.94563558265809,1.49275668437536,229.637184804758,10.393359782122,12.745417507865,146.963524970398,9.41402052605341,143.007901499471,120.333723525711,140.787791971101,35.5917040461978,113.579060870227,1188151.58916435,119653.855364988,1158669.84548834,216442.823339296,977201.446390912,263122.025567186,1368935.83817929,207418.876092331,1068414.28662926,182736.526217915,1400007.32452415,192233.454334036,1311948.12251109,233060.376641901,1274592.09687581,103049.873336692,1269239.2682558,243545.820682555,1261729.41773244,97488.7043113702,1318294.99140365,141437.381968905,1300628.19922793,96334.6794330334,957923.714702811,210257.063806497,1268413.16568364,110758.345252105,4
0,-6.26777006444904e-13,-2.00613341686947e-13,2.0672090342274902e-14,-3.09305650212934e-13,-8.25769095126069e-14,9.315517671852199e-13,-7.29292653084064e-14,3.41553873382923e-13,-7.73597738089437e-13,-2.84380557026896e-13,-6.056145279340611e-14,1.80551264505875e-13,-2.48178021988545e-13,-1.0529748497721899e-13,498.0,0.564824096385542,26671.0,0.0153580780623149,18846.0,0.02670090204818,4713.0,0.0626199872692552,19045.0,0.0116189131005513,4454.0,0.152009699146834,2756.0,0.120855152394775,22716.0,0.0124276941362916,24114.0,0.0138923446960272,574.0,0.469043379790941,21602.0,0.0199708730673086,2422.0,0.29372853014038,32483.0,0.0078265831357941,376.0,0.58988085106383,0.298459673375949,0.380768540753759,0.255227875568217,0.520098994037035,0.410713288375996,0.178952260487735,0.289076585530805,0.305900455695572,0.231411625632263,0.305469128170598,0.203729334055729,0.181943293254772,0.375809735791381,0.423960765177377,197.026484921482,246.580116858666,97.447747880525,37.4756491644116,259.94685732161,11.8571072816676,27.8423409385319,13.5127725587306,148.917628540112,220.702509034161,93.0918473418892,10.6939110999915,334.228020685759,264.277491946438,1080759.47946057,232798.27562922,923556.727873172,172293.39622982,899039.648652103,191591.607058176,941136.47994387,341346.464117512,966257.911252216,202042.725280431,1515835.68002081,193203.013746151,1209335.32922762,198165.862564455,1305719.47034292,236276.331845251,1241027.74093509,208897.801564609,1280296.37767785,237200.624185706,1212255.12481982,202562.903005673,1319458.65659931,227112.171110734,1223298.52378785,227602.645392217,1096519.62139698,197798.698669364,1
0,-3.2510209333984e-13,-3.30533235183279e-14,3.67839422230549e-14,-3.88301240070241e-13,1.77831096195076e-13,4.66246210427009e-13,-5.1238876503976e-14,-3.11836350367696e-13,2.30732091385547e-13,-2.2494402497169e-13,-1.80127004438826e-13,-1.03235254125914e-13,-6.90273358125952e-13,2.83705901788927e-13,13989.0,0.0208954964615055,174.0,1.58414367816092,13456.0,0.0320417657550535,15708.0,0.0197188439011968,32945.0,0.0058722628623463,241.0,2.58538091286307,129.0,2.41900387596899,16800.0,0.0152854285714286,13217.0,0.0232024362563365,16729.0,0.016783400083687,662.0,0.747153474320242,84.0,4.92826547619048,12939.0,0.0172505835072262,24230.0,0.0085717044985555,0.461664790317389,0.697875264256287,0.323423492806634,0.543404723023204,0.511311780290801,0.271095677708096,0.419520618018466,0.472658798512022,0.334211004380082,0.470975402007117,0.286646251732805,0.281369582692941,0.488075199717797,0.54374656882939,24.8840944422857,20.807731132914,10.4992008667629,148.606902950037,8.0905113483301,6.20313669923991,12.2102582620691,0.010418583280538,94.0379813170136,0.0104633950214156,50.6408577478469,11.9538776897445,33.0263167982791,28.4422305799408,1015763.60947217,130153.938583515,761360.084917721,134052.820006138,847668.092352829,165845.870432194,1114172.99507958,198469.898597069,997266.291041001,140517.598728541,1696413.06854227,119708.367470703,970342.205636959,236294.449910369,1283178.63567938,147313.253687144,1000666.84413867,303305.598454609,1214930.12495461,147095.763691056,970831.155021625,254538.321105273,1567664.93704924,152985.045978198,1139935.13965515,163827.787747231,1039362.18983743,165424.66256045,2
